,0
  (0, 5)	-0.6192872868246272
  (0, 6)	-0.14750985061881458
  (0, 18)	4.3212117576229225
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
3176,"  (0, 0)	-0.6253319694924834
  (0, 1)	1.1977728682661006
  (0, 2)	0.21040206879598686
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.3890251504718859
  (0, 5)	0.14326277373069826
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3177,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.12786056267483858
  (0, 2)	0.07693089411184795
  (0, 3)	-0.009965903433345894
  (0, 4)	0.5785881944724012
  (0, 5)	-0.3551422595273337
  (0, 6)	2.672713970068863
  (0, 9)	3.712268167078368
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
3178,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.47251115473617195
  (0, 2)	-0.42837177495532014
  (0, 3)	-0.2280299846826724
  (0, 4)	-0.32229319564814196
  (0, 5)	-0.0023062011667153303
  (0, 6)	-0.5161163676862306
  (0, 7)	5.735178911963309
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
3179,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.5164851746584288
  (0, 2)	-0.06696236559376618
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.3890251504718859
  (0, 5)	0.2604891800057015
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 29)	4.537951372605795
  (0, 40)	2.103542762656433"
3180,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.6737234885464952
  (0, 2)	-0.10789127977057704
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	2.1519218207257373
  (0, 6)	-0.08837922183924993
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 33)	2.46416498527817"
3181,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.36817127823594553
  (0, 2)	-0.41630104532392953
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3182,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.27123389297391093
  (0, 2)	-0.27199631485302667
  (0, 3)	-0.2716428009325377
  (0, 4)	-0.3890251504718859
  (0, 5)	-0.3979453223448513
  (0, 6)	-1.4295693927939208
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
3183,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.48572371106860984
  (0, 2)	-0.2862873296877204
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.6893189471787337
  (0, 5)	-0.2022466342377324
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3184,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.9390381745121609
  (0, 2)	1.4750450389415914
  (0, 3)	-0.05357871968321119
  (0, 4)	-0.12209733117691018
  (0, 5)	0.8321607171856104
  (0, 6)	-0.7714531737798052
  (0, 12)	4.963728285804211
  (0, 19)	2.04362447656144
  (0, 21)	5.7001710839938475
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
3185,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.0862241839281034
  (0, 2)	0.13581539832830689
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.28892721823627
  (0, 5)	-0.2089948648621158
  (0, 6)	-0.17592326964276123
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3186,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.3172703384838081
  (0, 2)	-0.42419355168094497
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.6893189471787337
  (0, 5)	-0.0051983000057367924
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3187,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.29687236262745753
  (0, 2)	-0.3547847851388787
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.5224890601193738
  (0, 5)	-0.0051983000057367924
  (0, 6)	-1.4295693927939208
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
3188,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.2521284155877208
  (0, 2)	-0.34906561765624083
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.5558550375312458
  (0, 5)	0.05206525700688815
  (0, 6)	-0.3625303189081406
  (0, 18)	4.3212117576229225
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
3189,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.4995596227208027
  (0, 2)	-0.4461810029106709
  (0, 3)	1.2548057678127478
  (0, 4)	0.3783923300011694
  (0, 5)	-0.6902401116752871
  (0, 6)	-1.055971329141217
  (0, 11)	2.9141347293510997
  (0, 19)	2.04362447656144
  (0, 25)	5.412630686041086
  (0, 27)	2.000575788029838
  (0, 39)	4.472436630062954"
3190,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.48647013821390495
  (0, 2)	-0.4520299631850441
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.6893189471787337
  (0, 5)	-0.6100325705397586
  (0, 6)	-0.28420143403131465
  (0, 10)	4.122731597850715
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3191,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.44840018327463316
  (0, 2)	-0.4124624925470746
  (0, 3)	-0.2716428009325377
  (0, 4)	-0.3890251504718859
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3192,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.4895251345979206
  (0, 2)	-0.34097980288600255
  (0, 3)	3.0429312340572254
  (0, 4)	1.5128355620048164
  (0, 5)	-0.6809853953904184
  (0, 6)	0.6883822198559402
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 25)	5.412630686041086
  (0, 27)	2.000575788029838
  (0, 39)	4.472436630062954"
3193,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.3261533279696382
  (0, 2)	-0.1838532015209
  (0, 3)	0.03364691281651941
  (0, 4)	-0.021999398941294282
  (0, 5)	-0.561445310044198
  (0, 6)	-0.17592326964276123
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3194,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.004068281170267488
  (0, 2)	-0.06846740966814456
  (0, 3)	-0.2716428009325377
  (0, 4)	-0.021999398941294282
  (0, 5)	-0.3470443827780736
  (0, 6)	-1.4295693927939208
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
3195,"  (0, 0)	2.164456214062103
  (0, 1)	-0.5012046207737342
  (0, 2)	-0.4544076566676859
  (0, 3)	-0.2280299846826724
  (0, 4)	-0.6559529697668617
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3196,"  (0, 0)	2.164456214062103
  (0, 1)	-0.5010871209128105
  (0, 2)	-0.45393543182966994
  (0, 3)	0.5133878915650377
  (0, 4)	-0.4223911278837579
  (0, 5)	-0.0051983000057367924
  (0, 6)	2.9453292066499728
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 35)	11.369444507394487"
3197,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.487175137379447
  (0, 2)	-0.4052879888677443
  (0, 3)	0.7314519728143642
  (0, 4)	0.07809853329432162
  (0, 5)	-0.5309818689398386
  (0, 6)	-0.2999440040310689
  (0, 7)	5.735178911963309
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3198,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4441701882813807
  (0, 2)	-0.440039318467703
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.0051983000057367924
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 29)	4.537951372605795
  (0, 40)	2.103542762656433"
3199,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4993011230267706
  (0, 2)	-0.45021286410074873
  (0, 3)	0.2517109940658459
  (0, 4)	1.2792737201217124
  (0, 5)	-0.7027725399777134
  (0, 6)	-0.6021245550019609
  (0, 15)	3.339872017081845
  (0, 19)	2.04362447656144
  (0, 21)	5.7001710839938475
  (0, 27)	2.000575788029838
  (0, 38)	6.70078468574501"
3200,"  (0, 0)	0.1717503686659699
  (0, 1)	-0.4527241781566245
  (0, 2)	-0.39701438878180373
  (0, 3)	-0.0971915359330765
  (0, 4)	-0.3890251504718859
  (0, 5)	-0.40276548707655374
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3201,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.09185860528782352
  (0, 2)	-0.2711623271274078
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.32229319564814196
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.14750985061881458
  (0, 18)	4.3212117576229225
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3202,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.5004291216916379
  (0, 2)	-0.45431652555859514
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.6893189471787337
  (0, 5)	-0.0051983000057367924
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3203,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.46837515963165843
  (0, 2)	-0.44391100982968185
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.5892210149431176
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
3204,"  (0, 0)	-0.6253319694924834
  (0, 1)	1.3697926646583658
  (0, 2)	0.8427939733621775
  (0, 3)	-0.315255617182403
  (0, 4)	-0.08873135376503818
  (0, 5)	0.6717456349145534
  (0, 6)	-0.17592326964276123
  (0, 17)	4.372228959178189
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3205,"  (0, 0)	2.164456214062103
  (0, 1)	-0.47777514850555275
  (0, 2)	-0.4490806291090146
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.6323981348948579
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3206,"  (0, 0)	2.164456214062103
  (0, 1)	-0.313275343212403
  (0, 2)	-0.41138548853054696
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.10815701867490084
  (0, 6)	-0.17592326964276123
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3207,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4425251902284492
  (0, 2)	-0.435618078902419
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.5892210149431176
  (0, 5)	-0.6780932965513969
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3208,"  (0, 0)	2.164456214062103
  (0, 1)	-0.4324202021890129
  (0, 2)	-0.43868892112390295
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.49107090496134237
  (0, 6)	-0.28420143403131465
  (0, 10)	4.122731597850715
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3209,"  (0, 0)	2.164456214062103
  (0, 1)	-0.38245926132426483
  (0, 2)	-0.42765929537515573
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.2859246939800867
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3210,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4319032028009487
  (0, 2)	-0.3557458041074726
  (0, 3)	-0.009965903433345894
  (0, 4)	0.5785881944724012
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.5161163676862306
  (0, 7)	5.735178911963309
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
3211,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.47199415534810774
  (0, 2)	-0.4286589760263942
  (0, 3)	-0.2280299846826724
  (0, 4)	-0.355659173060014
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3212,"  (0, 0)	-0.22679080041325675
  (0, 1)	4.35976462563884
  (0, 2)	5.954785253164367
  (0, 3)	-0.05357871968321119
  (0, 4)	-0.12209733117691018
  (0, 5)	4.955908048451679
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
3213,"  (0, 0)	2.164456214062103
  (0, 1)	-0.499888622331389
  (0, 2)	-0.4510385671800866
  (0, 3)	0.3825494428154418
  (0, 4)	-0.45575710529562985
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.28420143403131465
  (0, 10)	4.122731597850715
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3214,"  (0, 0)	-0.22679080041325675
  (0, 1)	2.230690645673972
  (0, 2)	2.849045339996157
  (0, 3)	-0.0971915359330765
  (0, 4)	-0.18882928600065407
  (0, 5)	2.1816140354730247
  (0, 6)	-0.08837922183924993
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 33)	2.46416498527817"
3215,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.3274928263841681
  (0, 2)	-0.3719643799768748
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.32229319564814196
  (0, 5)	-0.5533474332949379
  (0, 6)	-0.08837922183924993
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 33)	2.46416498527817"
3216,"  (0, 0)	-0.22679080041325675
  (0, 1)	1.2803987704676314
  (0, 2)	0.9043406105835919
  (0, 3)	-0.2716428009325377
  (0, 4)	-0.3890251504718859
  (0, 5)	0.540444347622979
  (0, 6)	2.672713970068863
  (0, 9)	3.712268167078368
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 29)	4.537951372605795
  (0, 33)	2.46416498527817"
3217,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4954236276162892
  (0, 2)	-0.443540962295798
  (0, 3)	0.12087254531625001
  (0, 4)	0.1114645107061936
  (0, 5)	-0.0051983000057367924
  (0, 6)	-1.4295693927939208
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
3218,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.6737234885464952
  (0, 2)	0.8503661400629949
  (0, 3)	-0.1408043521829418
  (0, 4)	-0.22219526341252607
  (0, 5)	0.18047444545944105
  (0, 6)	-0.17592326964276123
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3219,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.09143560578849828
  (0, 2)	-0.1895778921010585
  (0, 3)	-0.315255617182403
  (0, 4)	-0.15546330858878218
  (0, 5)	-0.1999329551665152
  (0, 6)	-0.8728199659733445
  (0, 14)	4.394704435480066
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
3220,"  (0, 0)	-0.22679080041325675
  (0, 1)	1.072753016243307
  (0, 2)	0.4148864698519422
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.4891230827075019
  (0, 5)	-0.3491652552600227
  (0, 6)	-0.14750985061881458
  (0, 18)	4.3212117576229225
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3221,"  (0, 0)	-0.22679080041325675
  (0, 1)	2.007440909918983
  (0, 2)	1.9806349090798336
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.28892721823627
  (0, 5)	4.699089671546573
  (0, 6)	-0.28420143403131465
  (0, 10)	4.122731597850715
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3222,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.29819393303441916
  (0, 2)	0.7123660254119193
  (0, 3)	-0.009965903433345894
  (0, 4)	0.611954171884273
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3223,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.5011811208015494
  (0, 2)	-0.45425024838834727
  (0, 3)	0.2953238103157112
  (0, 4)	1.4461036071810724
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3224,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.256734410135929
  (0, 2)	0.27688083210334585
  (0, 3)	0.557000707814903
  (0, 4)	0.645320149296145
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.3936314937857038
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
3225,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4516666794083114
  (0, 2)	-0.44088435238836315
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.6840703008187079
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3226,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.1299285602270953
  (0, 2)	-0.27031453165798736
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.28892721823627
  (0, 5)	-0.49415581038963197
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
3227,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4953296277275503
  (0, 2)	-0.45244143395033287
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.5892210149431176
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
3228,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.4998651223592043
  (0, 2)	-0.44765566994868566
  (0, 3)	1.2548057678127478
  (0, 4)	0.3783923300011694
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.20241686305698176
  (0, 14)	4.394704435480066
  (0, 19)	2.04362447656144
  (0, 25)	5.412630686041086
  (0, 27)	2.000575788029838
  (0, 39)	4.472436630062954"
3229,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.5941290827567954
  (0, 2)	1.218947291555119
  (0, 3)	0.03364691281651941
  (0, 4)	0.678686126708017
  (0, 5)	0.3077267943763854
  (0, 6)	-0.7714531737798052
  (0, 12)	4.963728285804211
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 29)	4.537951372605795
  (0, 33)	2.46416498527817"
3230,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.3230748316134378
  (0, 2)	-0.21951031911424607
  (0, 3)	-0.05357871968321119
  (0, 4)	-0.12209733117691018
  (0, 5)	-0.5319459018861791
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
3231,"  (0, 0)	-0.22679080041325675
  (0, 1)	1.123160456579565
  (0, 2)	0.07812112162754901
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.5892210149431176
  (0, 5)	0.7128134384286582
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 29)	4.537951372605795
  (0, 40)	2.103542762656433"
3232,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4425251902284492
  (0, 2)	-0.35090757067937917
  (0, 3)	0.12087254531625001
  (0, 4)	0.9122479685911209
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3233,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4279552074739131
  (0, 2)	-0.22829480572084718
  (0, 3)	0.6006135240647683
  (0, 4)	2.180155110242256
  (0, 5)	-0.549684108098844
  (0, 6)	-0.6428248579281548
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 34)	7.482350085235563"
3234,"  (0, 0)	2.164456214062103
  (0, 1)	-0.463792665055635
  (0, 2)	-0.4460981564478611
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.5882454259524635
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3235,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.31797533764935015
  (0, 2)	-0.39199941623304935
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.5892210149431176
  (0, 5)	-0.0051983000057367924
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3236,"  (0, 0)	-0.6253319694924834
  (0, 1)	10.309675583147694
  (0, 2)	13.240720186522651
  (0, 3)	-0.0971915359330765
  (0, 4)	0.44512428482491323
  (0, 5)	10.154166501708854
  (0, 6)	-0.4953822511011884
  (0, 10)	4.122731597850715
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
3237,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4747671520659066
  (0, 2)	-0.3687112755372092
  (0, 3)	0.6442263403146337
  (0, 4)	0.778784058943633
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.6547277767084567
  (0, 14)	4.394704435480066
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3238,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4420551907847545
  (0, 2)	-0.4377638022891933
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.0051983000057367924
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
3239,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.6565685088516382
  (0, 2)	1.3850848265251694
  (0, 3)	0.03364691281651941
  (0, 4)	0.745418081531761
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.7714531737798052
  (0, 12)	4.963728285804211
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
3240,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.5009696210518868
  (0, 2)	-0.4536565154048769
  (0, 3)	0.42616225906530714
  (0, 4)	0.5118562396486572
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
3241,"  (0, 0)	2.164456214062103
  (0, 1)	-0.4993951229155095
  (0, 2)	-0.4523944876214073
  (0, 3)	-0.1408043521829418
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
