country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
Zambia,From RDC,RDC,Truck,60,77724,264261,3,0.06,8554,23405,India,6906
Uganda,Direct Drop,DDP,Air,120,259,24123,93,0.78,43,-534, Port Elizabeth,3989
Uganda,From RDC,RDC,Air,60,4782,53654,11,0.19,617,7676, Nashik,4961
Vietnam,Direct Drop,EXW,Air,60,360,2790,7,0.13,3622,9181,India,3157
Nigeria,From RDC,RDC,Air,60,1300,12285,9,0.16,3622,9181,India,7633
Côte d'Ivoire,From RDC,RDC,Truck,60,2600,11960,4,0.08,122,799,India,9091
Nigeria,From RDC,RDC,Air Charter,60,34826,390747,11,0.19,4099,9181,India,7633
South Africa,Direct Drop,DDP,Truck,30,6,71,11,0.39,3622,9181,India,8074
Vietnam,Direct Drop,EXW,Air,30,12084,84588,7,0.23,3622,9181, Nashik,3641
Côte d'Ivoire,From RDC,RDC,Air,30,2410,28245,11,0.39,182,409, Nashik,8608
South Africa,Direct Drop,DDP,Truck,30,64,987,15,0.51,3622,9181,India,8074
Zambia,From RDC,RDC,Truck,240,40126,78245,1,0.01,12360,10292,India,6906
South Africa,Direct Drop,DDP,Truck,30,20,434,21,0.72,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,240,25,184,7,0.03,3622,9181,India,8074
Uganda,From RDC,RDC,Air,30,23000,89930,3,0.13,1403,8800,India,5524
Uganda,Direct Drop,EXW,Air,30,3115,62300,20,0.67,420,1335, Nashik,4961
South Africa,Direct Drop,DDP,Truck,30,60,1327,22,0.74,3622,9181,France,8670
Zambia,From RDC,RDC,Truck,30,125000,888750,7,0.24,3622,9181,India,6906
Côte d'Ivoire,From RDC,RDC,Truck,30,23705,86286,3,0.12,3622,9181,India,9091
Haiti,From RDC,RDC,Air,60,24345,230060,9,0.16,3622,9181,India,14446
Zambia,From RDC,RDC,Truck,30,150000,2440500,16,0.54,17001,5079, Nashik,6339
Mozambique,From RDC,RDC,Air,180,616,30800,50,0.28,227,943, Haarlem,8465
Nigeria,From RDC,RDC,Air Charter,60,214,1874,8,0.15,3622,9181,India,7633
Zimbabwe,From RDC,RDC,Truck,60,49000,203350,4,0.07,3573,10133, Nashik,6420
Nigeria,From RDC,RDC,Air,30,11527,138439,12,0.4,1994,9231,India,7633
Uganda,From RDC,RDC,Air,30,33373,121477,3,0.12,2870,13974,India,5524
Vietnam,Direct Drop,EXW,Air,30,3000,9900,3,0.11,3622,9181,India,3157
"Congo, DRC",From RDC,RDC,Air,30,36,218,6,0.2,3622,9181, Nashik,6020
Côte d'Ivoire,From RDC,RDC,Air,60,41336,362103,8,0.15,3622,9181,India,9091
Vietnam,Direct Drop,EXW,Air,30,1680,12600,7,0.25,3622,9181, Nashik,3641
Nigeria,From RDC,RDC,Air Charter,60,14648,80564,5,0.09,1023,1244,India,7633
South Africa,Direct Drop,DDP,Truck,60,31,1545,49,0.83,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,30,1500,29714,19,0.66,3622,9181,India,8074
Tanzania,From RDC,RDC,Air,60,6781,242759,35,0.6,675,1440,India,5659
Nigeria,From RDC,RDC,Air,30,2003,23475,11,0.39,181,17617,India,7633
Vietnam,Direct Drop,EXW,Air,60,800,14000,17,0.29,3002,5808, Nashik,3641
Tanzania,From RDC,RDC,Air,60,58086,551817,9,0.16,3622,9181,India,5659
Nigeria,Direct Drop,EXW,Air,1000,20,527,26,0.03,1920,19134,India,7633
Côte d'Ivoire,From RDC,RDC,Air,60,10962,96027,8,0.15,2634,5111,India,9091
Zambia,From RDC,RDC,Truck,60,80000,232000,2,0.05,8756,12844,India,6906
Zimbabwe,From RDC,RDC,Air,60,37240,275576,7,0.12,3622,9181,India,6980
Vietnam,Direct Drop,EXW,Air,60,1000,44500,44,0.74,91,6878,India,3157
Vietnam,Direct Drop,EXW,Air,240,179,375,2,0.01,3622,9181,India,3157
South Africa,Direct Drop,DDP,Truck,60,19,428,22,0.38,3622,9181,India,8074
Rwanda,Direct Drop,CIP,Air,60,61021,725539,11,0.2,6768,37120,India,5921
South Africa,Direct Drop,DDP,Truck,30,2500,47371,18,0.63,3622,9181, Port Elizabeth,573
Zimbabwe,From RDC,RDC,Truck,30,78082,418519,5,0.18,7490,14299, Nashik,6420
Nigeria,From RDC,RDC,Air Charter,30,844,5545,6,0.22,76,11601,India,7633
Zambia,From RDC,RDC,Truck,30,115000,546250,4,0.16,3622,9181, Nashik,6339
South Africa,Direct Drop,DDP,Ocean,30,128887,549058,4,0.14,10956,15429,India,8074
South Africa,Direct Drop,DDP,Air,30,19992,156337,7,0.26,1378,2646,India,8074
Côte d'Ivoire,From RDC,RDC,Truck,60,16500,59400,3,0.06,904,4012, Nashik,8608
Uganda,From RDC,RDC,Truck,60,5471,45190,8,0.14,521,3237,India,5524
Nigeria,From RDC,RDC,Air Charter,60,91500,706380,7,0.13,3622,9181,India,7633
Zambia,From RDC,RDC,Truck,30,21529,101186,4,0.16,9530,15468,India,6906
Vietnam,Direct Drop,EXW,Air,30,1680,13860,8,0.28,110,-209, Nashik,3641
Côte d'Ivoire,From RDC,RDC,Air,60,4400,10736,2,0.04,640,4678,India,9091
Côte d'Ivoire,From RDC,RDC,Truck,30,2000,26980,13,0.45,3622,9181, Nashik,8608
Côte d'Ivoire,From RDC,RDC,Air,60,374,10296,27,0.46,1118,1810,India,9091
Haiti,Direct Drop,CIP,Air,60,80,560,7,0.12,3622,9181,France,7294
South Africa,Direct Drop,DDP,Truck,30,3,91,30,1.02,3622,9181,India,8074
Zambia,From RDC,RDC,Truck,60,43676,105695,2,0.04,12561,24636,India,6906
Zimbabwe,From RDC,RDC,Truck,60,1988,6461,3,0.05,1671,4346,India,6980
Zimbabwe,Direct Drop,FCA,Air,60,9253,54962,5,0.1,1065,10368,Germany,7939
Nigeria,From RDC,RDC,Air Charter,30,751,3852,5,0.17,65,9181,India,7633
Vietnam,Direct Drop,EXW,Air,60,14789,117572,7,0.13,3622,9181,India,3157
Zambia,From RDC,RDC,Truck,30,50000,600500,12,0.4,3775,3060, Nashik,6339
Côte d'Ivoire,From RDC,RDC,Air,200,4550,6370,1,0.01,3622,9181,India,9091
Tanzania,From RDC,RDC,Truck,60,4794,122007,25,0.42,475,2588, Nashik,5091
Rwanda,From RDC,RDC,Air,60,1700,3315,1,0.03,268,61,India,5921
Haiti,Direct Drop,EXW,Air,30,384,7680,20,0.67,30,119,India,14446
Mozambique,From RDC,RDC,Truck,30,12710,40799,3,0.11,9511,9217,India,6624
South Africa,Direct Drop,DDP,Air,60,8989,66788,7,0.12,454,2315,India,8074
Vietnam,Direct Drop,FCA,Air,120,8225,676095,82,0.68,2018,9263,Germany,9157
Mozambique,From RDC,RDC,Truck,30,77000,247170,3,0.11,3622,9181,India,6624
Côte d'Ivoire,From RDC,RDC,Truck,30,14996,46787,3,0.1,33428,48314,India,9091
Zimbabwe,From RDC,RDC,Truck,30,17422,68120,3,0.13,3622,9181,India,6980
Tanzania,From RDC,RDC,Truck,120,22920,611964,26,0.22,12181,6134, Nashik,5091
South Africa,Direct Drop,DDP,Ocean,60,66793,487588,7,0.12,3458,2787,India,8074
"Congo, DRC",From RDC,RDC,Air,60,10,146,14,0.24,3622,9181, Nashik,6020
Uganda,Direct Drop,EXW,Air,60,1560,12542,8,0.13,166,488,India,5524
Nigeria,From RDC,RDC,Air Charter,60,422,3696,8,0.15,3622,9181, Nashik,7134
Haiti,Direct Drop,EXW,Air,100,30,10500,350,3.5,72,1556,Thailand,16167
Zambia,From RDC,RDC,Air,60,27681,262969,9,0.16,2581,18832,India,6906
Haiti,Direct Drop,EXW,Air,30,4816,96320,20,0.67,647,3444, Nashik,14325
South Africa,Direct Drop,DDP,Air,240,1900,10564,5,0.02,3622,9181,Canada,15035
Uganda,From RDC,RDC,Air,120,4001,118749,29,0.25,972,16102,India,5524
Nigeria,From RDC,RDC,Air Charter,30,3820,55657,14,0.49,3917,13547,India,7633
Nigeria,From RDC,RDC,Air Charter,60,40750,457215,11,0.19,5366,5147,India,7633
Nigeria,From RDC,RDC,Air,120,51861,1384688,26,0.22,14647,14459,India,7633
Mozambique,From RDC,RDC,Truck,60,114324,927167,8,0.14,3622,9181,India,6624
Haiti,From RDC,RDC,Air,60,108,162,1,0.02,78,5811,India,14446
Haiti,From RDC,RDC,Air,240,1470,18375,12,0.05,9635,94269,India,14446
Vietnam,Direct Drop,EXW,Air,60,15153,35609,2,0.04,3595,11632,India,3157
Rwanda,From RDC,RDC,Air,240,1004,8534,8,0.04,1,2253,India,5921
Nigeria,From RDC,RDC,Air,30,1957,22936,11,0.39,3622,9181,India,7633
South Africa,Direct Drop,DDP,Truck,240,210,5097,24,0.1,3622,9181,India,8074
Nigeria,From RDC,RDC,Air Charter,120,70000,1304800,18,0.16,15198,25180,Germany,4614
Uganda,From RDC,RDC,Air,60,10000,72100,7,0.12,1108,9648,India,5524
Nigeria,From RDC,RDC,Air Charter,60,2160,24235,11,0.19,5552,8736, Nashik,7134
South Africa,Direct Drop,DDP,Air,60,38400,112128,2,0.05,4528,5369,India,8074
Uganda,From RDC,RDC,Air,60,972,2507,2,0.04,58,4596,India,5524
Côte d'Ivoire,From RDC,RDC,Air,30,7132,30097,4,0.14,434,2526,India,9091
Zimbabwe,From RDC,RDC,Truck,30,4000,48040,12,0.4,3622,9181,India,6980
Haiti,Direct Drop,EXW,Air,30,3320,59760,18,0.6,3622,9181,India,14446
Nigeria,From RDC,RDC,Air Charter,60,20000,53200,2,0.04,1098,8736,India,7633
Tanzania,Direct Drop,FCA,Air,60,546,3243,5,0.1,3622,9181,Germany,6837
Nigeria,From RDC,RDC,Air,60,16610,220580,13,0.22,3622,9181,India,7633
Haiti,Direct Drop,EXW,Ocean,240,1932,2762,1,0.01,3622,9181,India,14446
Côte d'Ivoire,From RDC,RDC,Truck,60,5070,80562,15,0.26,3622,9181, Nashik,8608
Nigeria,From RDC,RDC,Air Charter,60,4700,10951,2,0.04,264,14322,India,7633
Nigeria,From RDC,RDC,Air Charter,90,309,8497,27,0.31,51,8736,India,7633
Uganda,From RDC,RDC,Air,120,11607,219372,18,0.16,2653,13056,Germany,5868
Tanzania,From RDC,RDC,Air,60,76427,722235,9,0.16,7017,4367,India,5659
Nigeria,From RDC,RDC,Air,60,164,2177,13,0.22,2095,9098,India,7633
Haiti,Direct Drop,EXW,Air,1000,10,316,31,0.03,3622,9181,India,14446
South Africa,Direct Drop,DDP,Truck,90,50,1636,32,0.36,3622,9181,India,8074
Côte d'Ivoire,From RDC,RDC,Air,60,11060,37604,3,0.06,3622,9181,India,9091
Tanzania,From RDC,RDC,Truck,30,1980,7999,4,0.13,126,382, Nashik,5091
Uganda,From RDC,RDC,Air,60,60,240,4,0.07,4,-604,India,5524
Mozambique,From RDC,RDC,Truck,60,33922,275107,8,0.14,16611,10223,India,6624
Mozambique,From RDC,RDC,Air,30,570,1949,3,0.11,35,-636,India,6624
Tanzania,From RDC,RDC,Truck,120,12837,317844,24,0.21,4613,2592,India,5659
Côte d'Ivoire,From RDC,RDC,Air,60,5601,16803,3,0.05,545,1280,India,9091
Vietnam,Direct Drop,FCA,Air,120,1000,82190,82,0.68,226,1923,Germany,9157
Vietnam,Direct Drop,EXW,Air,60,25000,65000,2,0.04,3098,11745, Nashik,3641
South Africa,Direct Drop,DDP,Air,30,40135,187430,4,0.16,3764,3263,India,8074
South Africa,Direct Drop,DDP,Truck,30,172,457,2,0.09,3622,9181,India,8074
Mozambique,From RDC,RDC,Truck,60,9784,63791,6,0.11,884,-316,India,6624
Côte d'Ivoire,From RDC,RDC,Air,180,1793,30409,16,0.09,3622,9181, Haarlem,5009
Rwanda,From RDC,RDC,Air,60,3150,9576,3,0.05,165,1559,India,5921
Haiti,From RDC,RDC,Air,60,216,285,1,0.02,165,2048,India,14446
Côte d'Ivoire,From RDC,RDC,Air,240,4340,8246,1,0.01,1632,4121,India,9091
South Africa,Direct Drop,DDP,Truck,60,146,964,6,0.11,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,60,150,3166,21,0.35,3622,9181,India,8074
Côte d'Ivoire,From RDC,RDC,Truck,60,148037,1142845,7,0.13,3622,9181,India,9091
Côte d'Ivoire,From RDC,RDC,Air,120,1000,36160,36,0.3,205,2962,Germany,5008
Côte d'Ivoire,From RDC,RDC,Air,240,4200,8190,1,0.01,3622,9181,India,9091
Haiti,From RDC,RDC,Air,30,43512,206682,4,0.16,3609,31479, Nashik,14325
Uganda,From RDC,RDC,Air,30,1717,21325,12,0.41,151,157,India,5524
Nigeria,From RDC,RDC,Air,60,154,238,1,0.03,3622,9181,India,7633
Zimbabwe,From RDC,RDC,Air,30,1860,23101,12,0.41,3622,9181,India,6980
Vietnam,Direct Drop,EXW,Air,240,691,1451,2,0.01,3622,9181,India,3157
"Congo, DRC",From RDC,RDC,Air,240,2463,4802,1,0.01,3622,9181,India,6583
Mozambique,From RDC,RDC,Air,60,125000,900000,7,0.12,9228,2671,India,6624
Nigeria,From RDC,RDC,Air,60,72023,615796,8,0.14,3622,9181,India,7633
"Congo, DRC",From RDC,RDC,Air,60,41,338,8,0.14,3622,9181,India,6583
Côte d'Ivoire,From RDC,RDC,Air,240,4340,8246,1,0.01,3622,9181,India,9091
Zambia,From RDC,RDC,Truck,60,18867,46035,2,0.04,17125,6317, Nashik,6339
Vietnam,Direct Drop,FCA,Air,120,4951,406972,82,0.68,1232,7108,Germany,9157
South Africa,Direct Drop,DDP,Truck,60,17,98,5,0.1,3622,9181,Germany,8973
Nigeria,From RDC,RDC,Air Charter,60,350505,2705898,7,0.13,72975,128843,India,7633
Nigeria,From RDC,RDC,Air Charter,120,63353,1330413,21,0.18,32671,9181, Nashik,7134
South Africa,Direct Drop,DDP,Air,60,2098,15588,7,0.12,124,697,India,8074
South Africa,Direct Drop,DDP,Ocean,30,71984,478693,6,0.22,6719,8726,India,8074
South Africa,Direct Drop,DDP,Ocean,240,17337,160887,9,0.04,6680,2755,Canada,15035
Uganda,Direct Drop,CIP,Air,60,168,9324,55,0.92,35,-114, Haarlem,6190
Rwanda,From RDC,RDC,Air,60,10078,24590,2,0.04,3622,9181,India,5921
Côte d'Ivoire,From RDC,RDC,Air,60,1080,1890,1,0.03,4668,7787,India,9091
Tanzania,From RDC,RDC,Truck,60,15639,31121,1,0.03,590,4399, Nashik,5091
Côte d'Ivoire,From RDC,RDC,Air,60,22500,166500,7,0.12,3622,9181,India,9091
South Africa,Direct Drop,DDP,Truck,30,1000,16453,16,0.55,3622,9181,India,8074
Nigeria,From RDC,RDC,Air Charter,60,120036,1177553,9,0.16,3622,9181, Nashik,7134
Tanzania,From RDC,RDC,Air,60,11181,32536,2,0.05,566,2594,India,5659
Côte d'Ivoire,From RDC,RDC,Truck,30,1644,6641,4,0.13,97,620, Nashik,8608
Uganda,From RDC,RDC,Truck,60,3757,25284,6,0.11,3622,9181,India,5524
Nigeria,From RDC,RDC,Air Charter,60,100000,244000,2,0.04,3622,9181,India,7633
South Africa,Direct Drop,DDP,Ocean,60,150000,430500,2,0.05,9282,14222,India,8074
Nigeria,From RDC,RDC,Air Charter,60,123700,1061346,8,0.14,18882,19225,India,7633
Vietnam,Direct Drop,FCA,Air,120,4500,273600,60,0.51,3622,9181,Germany,9157
Mozambique,From RDC,RDC,Truck,30,263351,2936363,11,0.37,3622,9181, Nashik,6074
South Africa,Direct Drop,DDP,Truck,60,83,1624,19,0.33,3622,9181,India,8074
Zimbabwe,From RDC,RDC,Truck,60,6634,26204,3,0.07,6368,-775, Nashik,6420
Tanzania,Direct Drop,EXW,Air,30,53149,1057665,19,0.66,5808,27514, Nashik,5091
Uganda,From RDC,RDC,Air,60,2420,21199,8,0.15,202,534, Nashik,4961
Nigeria,From RDC,RDC,Air Charter,30,47091,156813,3,0.11,3622,9181,India,7633
Uganda,From RDC,RDC,Air,30,1444,15884,11,0.37,3622,9181,India,5524
Nigeria,From RDC,RDC,Air Charter,60,22100,51493,2,0.04,3622,9181,India,7633
Uganda,From RDC,RDC,Air,60,3505,32771,9,0.16,6556,4401,India,5524
Nigeria,From RDC,RDC,Air,60,784,3057,3,0.06,58,102, Nashik,7134
"Congo, DRC",Direct Drop,EXW,Air,30,75,825,11,0.37,3622,9181,India,6583
Côte d'Ivoire,Direct Drop,FCA,Air,120,10560,381849,36,0.3,2598,14873,Germany,5008
South Africa,Direct Drop,DDP,Air,30,53954,251965,4,0.16,4564,5105,India,8074
Tanzania,Direct Drop,EXW,Air,60,28755,74763,2,0.04,3392,19294,India,5659
South Africa,Direct Drop,DDP,Truck,30,9,27,3,0.1,3622,9181,India,8074
Vietnam,Direct Drop,FCA,Air,30,128,2977,23,0.78,1232,1769,Germany,9157
Vietnam,Direct Drop,EXW,Air,60,12488,101777,8,0.14,1846,2314,India,3157
Zimbabwe,Direct Drop,EXW,Air,90,14164,131725,9,0.1,884,7280,India,6980
Nigeria,From RDC,RDC,Air,60,60840,693576,11,0.19,7663,32279, Nashik,7134
Côte d'Ivoire,From RDC,RDC,Air,60,6438,46417,7,0.12,3622,9181,India,9091
South Africa,Direct Drop,DDP,Ocean,30,96764,438340,4,0.15,8468,29412,India,8074
"Congo, DRC",From RDC,RDC,Air,60,5076,21065,4,0.07,3622,9181, Nashik,6020
Zambia,From RDC,RDC,Truck,120,46009,942264,20,0.17,22534,29981, Nashik,6339
Côte d'Ivoire,From RDC,RDC,Air,60,1013,1448,1,0.02,3622,9181,India,9091
Mozambique,From RDC,RDC,Truck,60,103410,838655,8,0.14,3622,9181,India,6624
Tanzania,From RDC,RDC,Air,60,28512,304508,10,0.18,2630,12820,India,5659
South Africa,Direct Drop,DDP,Truck,30,300,1213,4,0.13,3622,9181,India,8074
Uganda,From RDC,RDC,Truck,60,14066,159649,11,0.19,1593,8547,India,5524
Mozambique,Direct Drop,FCA,Air,30,2240,7683,3,0.11,216,1698,Germany,8163
Uganda,From RDC,RDC,Truck,30,6600,131472,19,0.66,720,3647, Nashik,4961
Mozambique,From RDC,RDC,Truck,60,12160,52531,4,0.07,3622,9181,India,6624
Côte d'Ivoire,From RDC,RDC,Air,60,1840,55200,30,0.5,3622,9181, Nashik,8608
Vietnam,Direct Drop,EXW,Air,240,464,858,1,0.01,437,222,India,3157
Tanzania,From RDC,RDC,Truck,100,13171,17122,1,0.01,3622,9181,India,5659
Zimbabwe,From RDC,RDC,Truck,60,5900,19352,3,0.05,18105,15594,India,6980
South Africa,Direct Drop,DDP,Truck,200,500,1368,2,0.01,3622,9181,India,8074
Haiti,From RDC,RDC,Air,60,93000,869550,9,0.16,3622,9181,India,14446
Haiti,Direct Drop,FCA,Air,60,2697,16020,5,0.1,1825,3126,Germany,7877
Côte d'Ivoire,From RDC,RDC,Truck,60,100425,267130,2,0.04,6880,6826,India,9091
Haiti,From RDC,RDC,Air,60,100,175,1,0.03,3622,9181,India,14446
Zambia,From RDC,RDC,Truck,60,89575,195273,2,0.04,3622,9181,India,6906
Nigeria,From RDC,RDC,Air Charter,30,40148,401480,10,0.33,3312,8736, Nashik,7134
Nigeria,From RDC,RDC,Air Charter,60,64,156,2,0.04,4,123350,India,7633
"Congo, DRC",Direct Drop,EXW,Air,1000,1070,25680,24,0.02,902,4914,India,6583
Uganda,From RDC,RDC,Truck,60,4879,47862,9,0.16,637,4081, Nashik,4961
Nigeria,From RDC,RDC,Air,60,3075,24600,8,0.13,3622,9181,India,7633
Uganda,From RDC,RDC,Air,60,350,3972,11,0.19,45,-251,India,5524
Uganda,From RDC,RDC,Ocean,30,1166,2332,2,0.07,71,240,India,5524
Uganda,From RDC,RDC,Air,60,14010,120205,8,0.14,3622,9181,India,5524
South Africa,Direct Drop,DDP,Air,30,80,2542,31,1.06,3622,9181, Port Elizabeth,573
South Africa,Direct Drop,DDP,Truck,60,88,6697,76,1.27,3622,9181,India,8074
Nigeria,From RDC,RDC,Air Charter,30,109140,1282395,11,0.39,8735,8736, Nashik,7134
Tanzania,Direct Drop,EXW,Air,90,15041,139881,9,0.1,949,3673,India,5659
Uganda,From RDC,RDC,Truck,60,11549,28987,2,0.04,3622,9181,India,5524
Haiti,From RDC,RDC,Air,60,2250,32917,14,0.24,3622,9181, Nashik,14325
South Africa,Direct Drop,DDP,Ocean,60,164,1380,8,0.14,3622,9181,India,8074
Mozambique,From RDC,RDC,Truck,60,3167,7664,2,0.04,775,2855, Nashik,6074
Rwanda,From RDC,RDC,Truck,30,81557,782947,9,0.32,3622,9181, Nashik,5355
Zimbabwe,From RDC,RDC,Truck,60,7150,21092,2,0.05,3622,9181,India,6980
Mozambique,From RDC,RDC,Truck,60,42000,299040,7,0.12,3622,9181,India,6624
Zambia,From RDC,RDC,Air,90,900,14400,16,0.18,109,-81,India,6906
Tanzania,From RDC,RDC,Air,100,43293,56280,1,0.01,3622,9181,India,5659
Mozambique,From RDC,RDC,Truck,60,30000,162900,5,0.09,3622,9181,India,6624
Tanzania,From RDC,RDC,Air,30,20000,248400,12,0.41,3622,9181,India,5659
Vietnam,Direct Drop,EXW,Air,30,4872,36540,7,0.25,3622,9181, Nashik,3641
Zimbabwe,From RDC,RDC,Air,30,1860,23101,12,0.41,3622,9181,India,6980
Zimbabwe,From RDC,RDC,Air,60,22240,164576,7,0.12,2262,6364,India,6980
Haiti,From RDC,RDC,Air,30,24599,270589,11,0.37,3622,9181,India,14446
Haiti,From RDC,RDC,Air,60,10283,29923,2,0.05,519,4974,India,14446
Uganda,From RDC,RDC,Air,60,1604,11420,7,0.12,120,670,India,5524
Zimbabwe,From RDC,RDC,Air,30,1062,2124,2,0.07,3622,9181,India,6980
Uganda,From RDC,RDC,Truck,60,18528,153041,8,0.14,1713,14672,India,5524
Uganda,From RDC,RDC,Air,60,16577,145214,8,0.15,3622,9181, Nashik,4961
South Africa,Direct Drop,DDP,Air,240,40000,400800,10,0.04,3622,10770,Canada,15035
Uganda,From RDC,RDC,Air,60,635,1549,2,0.04,1779,8325,India,5524
Vietnam,Direct Drop,EXW,Air,30,252,3276,13,0.43,17,-564,India,3157
Vietnam,Direct Drop,FCA,Air,120,1836,111665,60,0.51,439,-42,Germany,9157
South Africa,Direct Drop,DDP,Truck,30,80,2816,35,1.17,3622,9181, Port Elizabeth,573
Haiti,Direct Drop,EXW,Air,60,19987,135311,6,0.11,3622,9181,India,14446
Haiti,Direct Drop,EXW,Air,1000,11000,100540,9,0.01,5051,36744,India,14446
Vietnam,Direct Drop,EXW,Air,60,388,5606,14,0.24,3622,9181,India,3157
Haiti,From RDC,RDC,Air,30,192,1056,5,0.18,20,-130, Nashik,14325
Côte d'Ivoire,From RDC,RDC,Truck,60,41700,344442,8,0.14,4873,17002,India,9091
Nigeria,From RDC,RDC,Air,60,16870,40825,2,0.04,7973,50090,India,7633
South Africa,Direct Drop,DDP,Truck,60,8146,79058,9,0.16,3622,9181,India,8074
Uganda,From RDC,RDC,Truck,30,24912,82956,3,0.11,3622,9181,India,5524
Côte d'Ivoire,From RDC,RDC,Air,60,519,1115,2,0.04,3622,9181,India,9091
Côte d'Ivoire,From RDC,RDC,Air,30,30654,359264,11,0.39,3622,9181,India,9091
Rwanda,From RDC,RDC,Air,120,7541,223816,29,0.25,2003,31401, Nashik,5355
Côte d'Ivoire,From RDC,RDC,Truck,30,8640,129945,15,0.5,979,3869, Nashik,8608
Uganda,From RDC,RDC,Air,60,4176,46854,11,0.19,567,1768,India,5524
Zimbabwe,From RDC,RDC,Air,120,1573,38947,24,0.21,388,1392,India,6980
Uganda,From RDC,RDC,Truck,30,5760,80409,13,0.47,610,5585, Nashik,4961
Tanzania,From RDC,RDC,Truck,30,3428,68285,19,0.66,396,47, Nashik,5091
South Africa,Direct Drop,DDP,Truck,60,6658,94179,14,0.24,3622,9181,India,8074
"Congo, DRC",From RDC,RDC,Air,120,20,674,33,0.28,3622,9181,India,6583
"Congo, DRC",From RDC,RDC,Air,120,23,776,33,0.28,3622,9181,India,6583
Zimbabwe,From RDC,RDC,Truck,60,7372,14006,1,0.03,5453,8405,India,6980
Uganda,From RDC,RDC,Air,60,6000,52560,8,0.15,486,2338, Nashik,4961
Nigeria,From RDC,RDC,Air Charter,60,4314,49179,11,0.19,485,21985,India,7633
South Africa,Direct Drop,DDP,Air,30,3500,44170,12,0.42,3622,9181,India,8074
Nigeria,From RDC,RDC,Air Charter,60,10819,23260,2,0.04,411,28674, Nashik,7134
Nigeria,From RDC,RDC,Air Charter,60,45113,506167,11,0.19,6180,20326, Nashik,7134
Haiti,Direct Drop,EXW,Ocean,240,3300,4983,1,0.01,3622,9181,India,14446
Vietnam,Direct Drop,EXW,Air,30,16611,190860,11,0.38,3622,9181, Nashik,3641
Rwanda,From RDC,RDC,Air,60,69922,170609,2,0.04,4444,25081,India,5921
Nigeria,From RDC,RDC,Air,60,132919,1303935,9,0.16,18953,17461, Nashik,7134
South Africa,Direct Drop,DDP,Truck,30,3700,98942,26,0.89,3622,9181, Port Elizabeth,573
Côte d'Ivoire,From RDC,RDC,Air,60,10350,24115,2,0.04,495,19548,India,9091
Côte d'Ivoire,From RDC,RDC,Air,60,18180,206343,11,0.19,2047,5739,India,9091
Rwanda,From RDC,RDC,Truck,30,30205,325609,10,0.36,3622,9181, Nashik,5355
Mozambique,From RDC,RDC,Truck,30,97351,1178920,12,0.4,11667,3120, Nashik,6074
Rwanda,Direct Drop,CIP,Air,60,18560,168896,9,0.15,1698,15414,India,5921
Côte d'Ivoire,From RDC,RDC,Air,240,2712,5207,1,0.01,3622,9181,India,9091
South Africa,Direct Drop,DDP,Truck,60,8,121,15,0.25,3622,9181,France,8670
South Africa,Direct Drop,DDP,Truck,60,53,2642,49,0.83,3622,9181,India,8074
Zimbabwe,From RDC,RDC,Truck,240,62500,121875,1,0.01,23176,16308,India,6980
Côte d'Ivoire,From RDC,RDC,Truck,30,69384,313615,4,0.15,3622,9181, Nashik,8608
Haiti,From RDC,RDC,Air,90,500,8000,16,0.18,3622,9181,India,14446
Nigeria,From RDC,RDC,Air,60,3000,7320,2,0.04,142,9181,India,7633
South Africa,Direct Drop,DDP,Ocean,60,35364,96190,2,0.05,3793,7527,India,8074
Tanzania,From RDC,RDC,Truck,30,37440,982800,26,0.88,5712,4873, Port Elizabeth,3213
Côte d'Ivoire,From RDC,RDC,Air,60,1161,2496,2,0.04,399,3200,India,9091
Uganda,Direct Drop,FCA,Air,120,480,17356,36,0.3,126,360,Germany,5868
Nigeria,From RDC,RDC,Air Charter,60,1002,1553,1,0.03,3622,9181,India,7633
Uganda,From RDC,RDC,Truck,30,8132,29600,3,0.12,690,2990,India,5524
Côte d'Ivoire,Direct Drop,FCA,Ocean,120,9800,302036,30,0.26,3622,9181,Germany,5008
South Africa,Direct Drop,DDP,Truck,240,11,56,5,0.02,3622,9181,India,8074
Tanzania,Direct Drop,EXW,Air,60,37589,268761,7,0.12,3267,12180,India,5659
Nigeria,From RDC,RDC,Air Charter,30,600,7050,11,0.39,3622,9181, Nashik,7134
Zambia,From RDC,RDC,Truck,30,200000,3008000,15,0.5,33909,15040, Nashik,6339
South Africa,Direct Drop,DDP,Truck,120,57,1468,25,0.21,3622,9181,Germany,8973
Côte d'Ivoire,Direct Drop,FCA,Air,60,4600,27324,5,0.1,535,4924,Germany,5008
Haiti,From RDC,RDC,Air,60,2871,8727,3,0.05,144,1504,India,14446
Nigeria,From RDC,RDC,Air Charter,60,3000,8700,2,0.05,3622,9181,India,7633
Nigeria,Direct Drop,EXW,Air,240,4000,7800,1,0.01,1573,8316,India,7633
Uganda,From RDC,RDC,Air,30,950,4370,4,0.15,76,17, Nashik,4961
Tanzania,From RDC,RDC,Truck,100,20000,26000,1,0.01,3920,5010,India,5659
