,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,mfg_site,weight,freight_cost,location,distance
2525,Haiti,Direct Drop,EXW,Air,30,8806,40419.54,4.59,0,"Cipla, Kurkumbh, India",979,6161.47,India,14446
2526,Vietnam,Direct Drop,EXW,Air,60,20000,219000.0,10.95,0,"Aurobindo Unit III, India",2675,9656.19,India,3157
2527,South Africa,Direct Drop,DDP,Truck,60,3,151.99,50.66,0,"Janssen-Cilag, Latina, IT",Weight Captured Separately,Freight Included in Commodity Cost, Latina,7877
2528,South Africa,Direct Drop,DDP,Ocean,30,32080,76671.2,2.39,0,"Aurobindo Unit III, India",2666,21695.97,India,8074
2529,Uganda,Direct Drop,EXW,Air,60,50000,405000.0,8.1,0,Mylan (formerly Matrix) Nashik,6918,22886.81, Nashik,4961
2530,South Africa,Direct Drop,DDP,Truck,60,225,5964.4,26.51,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2531,"Congo, DRC",Direct Drop,EXW,Air,1000,415,10026.4,24.16,0,"Micro Labs, Hosur, India",329,1731.89,India,6583
2532,Vietnam,Direct Drop,FCA,Air,120,5200,316264.0,60.82,0,ABBVIE Ludwigshafen Germany,1272,3824.06,Germany,9157
2533,Vietnam,Direct Drop,EXW,Air,60,16800,109032.0,6.49,0,Mylan (formerly Matrix) Nashik,1456,2984, Nashik,3641
2534,Côte d'Ivoire,Direct Drop,EXW,Air,100,670,3015.0,4.5,0,"Aurobindo Unit III, India",76,1921.02,India,9091
2535,Vietnam,Direct Drop,FCA,Air,60,104,1581.84,15.21,0,ABBVIE Ludwigshafen Germany,18,612.07,Germany,9157
2536,Uganda,Direct Drop,EXW,Air,60,4250,34170.0,8.04,0,"Aurobindo Unit III, India",424,1488.99,India,5524
2537,South Africa,Direct Drop,DDP,Truck,120,39,1523.85,39.07,0,"Janssen-Cilag, Latina, IT",Weight Captured Separately,Freight Included in Commodity Cost, Latina,7877
2538,South Africa,Direct Drop,DDP,Truck,60,31,1545.41,49.85,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2539,South Africa,Direct Drop,DDP,Truck,90,8,136.35,17.04,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2540,South Africa,Direct Drop,DDP,Truck,240,8,141.69,17.71,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2541,Côte d'Ivoire,Direct Drop,FCA,Air,120,16695,562621.5,33.7,0,ABBVIE Ludwigshafen Germany,4113,30130.82,Germany,5008
2542,Rwanda,Direct Drop,EXW,Ocean,30,28869,577380.0,20.0,0,Mylan (formerly Matrix) Nashik,3865,5678.36, Nashik,5355
2543,Vietnam,Direct Drop,FCA,Air,30,400,9304.0,23.26,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Invoiced Separately,Germany,9157
2544,Rwanda,Direct Drop,FCA,Air,60,500,2970.0,5.94,0,ABBVIE Ludwigshafen Germany,65,985.26,Germany,6174
2545,Haiti,Direct Drop,EXW,Air,1000,10,316.5,31.65,0,"Micro Labs, Hosur, India",See ASN-13412 (ID#:16085),See ASN-13412 (ID#:16085),India,14446
2546,South Africa,Direct Drop,DDP,Ocean,30,52516,236847.16,4.51,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2547,Haiti,Direct Drop,EXW,Ocean,60,6000,11940.0,1.99,0,Mylan (formerly Matrix) Nashik,Weight Captured Separately,Invoiced Separately, Nashik,14325
2548,South Africa,Direct Drop,DDP,Truck,240,3,73.53,24.51,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2549,Vietnam,Direct Drop,FCA,Air,30,128,2977.28,23.26,0,ABBVIE Ludwigshafen Germany,1232,2769.45,Germany,9157
2550,South Africa,Direct Drop,DDP,Truck,120,18,1254.77,69.71,0,"Janssen-Cilag, Latina, IT",Weight Captured Separately,Freight Included in Commodity Cost, Latina,7877
2551,Côte d'Ivoire,Direct Drop,CIP,Air,180,3559,60360.64,16.96,0,"MSD, Haarlem, NL",1061,2454.99, Haarlem,5009
2552,Tanzania,Direct Drop,FCA,Air,120,2855,103236.8,36.16,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Invoiced Separately,Germany,6837
2553,South Africa,Direct Drop,DDP,Ocean,60,7548,55100.4,7.3,0,"Aurobindo Unit III, India",391,659.58,India,8074
2554,South Africa,Direct Drop,DDP,Truck,30,334,11131.8,33.33,1,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2555,Uganda,Direct Drop,EXW,Air,120,120,10800.0,90.0,0,"Aspen-OSD, Port Elizabeth, SA",18,1190.02, Port Elizabeth,3989
2556,South Africa,Direct Drop,DDP,Ocean,60,150000,430500.0,2.87,0,"Strides, Bangalore, India.",9282,15222.94,India,8074
2557,Côte d'Ivoire,Direct Drop,EXW,Air,30,7000,8750.0,1.25,0,"Aurobindo Unit III, India",480,5325.3,India,9091
2558,Uganda,Direct Drop,EXW,Air,120,10679,272314.5,25.5,0,"Aurobindo Unit III, India",2709,11409.29,India,5524
2559,South Africa,Direct Drop,DDP,Truck,120,62,1597.1,25.76,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Freight Included in Commodity Cost,Germany,8973
2560,Vietnam,Direct Drop,EXW,Air,60,23355,54884.25,2.35,0,"Strides, Bangalore, India.",1073,5221.88,India,3157
2561,South Africa,Direct Drop,DDP,Ocean,240,20000,185600.0,9.28,0,GSK Mississauga (Canada),7293,6560.34,Canada,15035
2562,Rwanda,Direct Drop,CIP,Air,30,54684,327557.16,5.99,0,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",3889,31784.09,India,5921
2563,South Africa,Direct Drop,DDP,Ocean,60,6384,46603.2,7.3,0,"Aurobindo Unit III, India",331,5766.83,India,8074
2564,South Africa,Direct Drop,DDP,Truck,30,273,6169.93,22.6,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2565,South Africa,Direct Drop,DDP,Ocean,30,108677,722702.05,6.65,0,"Aurobindo Unit III, India",10144,8809.08,India,8074
2566,South Africa,Direct Drop,DDP,Ocean,30,125247,567368.91,4.53,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2567,Vietnam,Direct Drop,FCA,Air,30,71,1651.46,23.26,0,ABBVIE Ludwigshafen Germany,15,493.42,Germany,9157
2568,Vietnam,Direct Drop,EXW,Air,60,13000,84370.0,6.49,0,Mylan (formerly Matrix) Nashik,Weight Captured Separately,Invoiced Separately, Nashik,3641
2569,Haiti,Direct Drop,CIP,Air,180,180,3052.8,16.96,0,"MSD, Haarlem, NL",Weight Captured Separately,Freight Included in Commodity Cost, Haarlem,7467
2570,South Africa,Direct Drop,DDP,Truck,240,143,3866.47,27.04,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2571,South Africa,Direct Drop,DDP,Ocean,60,236129,559625.73,2.37,0,"Aurobindo Unit III, India",11917,17266.6,India,8074
2572,South Africa,Direct Drop,DDP,Truck,30,51,795.4,15.6,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2573,Vietnam,Direct Drop,EXW,Air,240,500,1050.0,2.1,0,"Aurobindo Unit III, India",See ASN-14875 (ID#:35053),See ASN-14875 (ID#:35053),India,3157
2574,South Africa,Direct Drop,DDP,Truck,60,8,46.26,5.78,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Freight Included in Commodity Cost,Germany,8973
2575,"Congo, DRC",Direct Drop,FCA,Air,60,304,1805.76,5.94,0,ABBVIE Ludwigshafen Germany,43,453.31,Germany,6133
2576,Côte d'Ivoire,Direct Drop,EXW,Air,60,7228,33248.8,4.6,0,"Aurobindo Unit III, India",338,3845.67,India,9091
2577,"Congo, DRC",Direct Drop,EXW,Air,30,492,615.0,1.25,0,"Aurobindo Unit III, India",27,938.06,India,6583
2578,South Africa,Direct Drop,DDP,Air,30,83238,650921.16,7.82,0,"Cipla, Goa, India",5663,5298.02,India,8074
2579,South Africa,Direct Drop,DDP,Air,30,59681,412395.71,6.91,0,"Aurobindo Unit III, India",5200,5953.37,India,8074
2580,South Africa,Direct Drop,DDP,Truck,60,46,470.75,10.23,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2581,Tanzania,Direct Drop,EXW,Air,30,216755,2653081.2,12.24,0,Mylan (formerly Matrix) Nashik,28678,118541.26, Nashik,5091
2582,Vietnam,Direct Drop,EXW,Air,30,21384,217047.6,10.15,0,Mylan (formerly Matrix) Nashik,2406,4219.32, Nashik,3641
2583,South Africa,Direct Drop,DDP,Ocean,60,75000,182250.0,2.43,0,"Strides, Bangalore, India.",3347,7414.66,India,8074
2584,Mozambique,Direct Drop,FCA,Air,60,120,822.0,6.85,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Invoiced Separately,Germany,8163
2585,South Africa,Direct Drop,DDP,Truck,120,2,51.19,25.6,0,"Janssen-Cilag, Latina, IT",Weight Captured Separately,Freight Included in Commodity Cost, Latina,7877
2586,Haiti,Direct Drop,EXW,Air,30,75000,768000.0,10.24,0,Mylan (formerly Matrix) Nashik,9057,55886.43, Nashik,14325
2587,Zimbabwe,Direct Drop,FCA,Air,60,19922,118336.68,5.94,0,ABBVIE Ludwigshafen Germany,3991,34670.93,Germany,7939
2588,Haiti,Direct Drop,EXW,Ocean,60,2430,5224.5,2.15,0,"Aurobindo Unit III, India",See ASN-18919 (ID#:14578),See ASN-18919 (ID#:14578),India,14446
2589,South Africa,Direct Drop,DDP,Truck,200,4500,12317.21,2.74,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2590,Vietnam,Direct Drop,EXW,Air,60,5070,41827.5,8.25,0,Mylan (formerly Matrix) Nashik,See ASN-11024 (ID#:15149),See ASN-11024 (ID#:15149), Nashik,3641
2591,Vietnam,Direct Drop,EXW,Air,60,169,2154.75,12.75,0,Mylan (formerly Matrix) Nashik,See ASN-16123 (ID#:20371),See ASN-16123 (ID#:20371), Nashik,3641
2592,South Africa,Direct Drop,DDP,Truck,60,1200,5558.6,4.63,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2593,Vietnam,Direct Drop,EXW,Air,240,150,315.0,2.1,0,"Aurobindo Unit III, India",58,755.03,India,3157
2594,South Africa,Direct Drop,DDP,Truck,30,39,471.65,12.09,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2595,South Africa,Direct Drop,DDP,Ocean,30,100591,455677.23,4.53,0,"Aurobindo Unit III, India",8635,11203.79,India,8074
2596,Uganda,Direct Drop,FCA,Air,60,1000,5940.0,5.94,0,ABBVIE Ludwigshafen Germany,116,1105.6,Germany,5868
2597,South Africa,Direct Drop,DDP,Ocean,30,120000,798000.0,6.65,0,"Aurobindo Unit III, India",11201,13084.26,India,8074
2598,South Africa,Direct Drop,DDP,Truck,60,7,117.6,16.8,0,"GSK, U1, Poznan, Poland",Weight Captured Separately,Freight Included in Commodity Cost,Poland,8994
2599,South Africa,Direct Drop,DDP,Ocean,60,17013,40320.81,2.37,0,"Aurobindo Unit III, India",See ASN-9195 (ID#:39724),See ASN-9195 (ID#:39724),India,8074
2600,South Africa,Direct Drop,DDP,Truck,60,53,3422.75,64.58,1,"Cipla, Patalganga, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2601,South Africa,Direct Drop,DDP,Truck,240,7,36.18,5.17,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2602,South Africa,Direct Drop,DDP,Truck,30,26,506.63,19.49,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2603,Uganda,Direct Drop,EXW,Air,60,2335,18773.4,8.04,0,"Aurobindo Unit III, India",237,1488.99,India,5524
2604,South Africa,Direct Drop,DDP,Ocean,30,48866,220385.66,4.51,0,"Aurobindo Unit III, India",4154,9951.37,India,8074
2605,South Africa,Direct Drop,DDP,Truck,120,2,51.19,25.6,0,"Janssen-Cilag, Latina, IT",Weight Captured Separately,Freight Included in Commodity Cost, Latina,7877
2606,South Africa,Direct Drop,DDP,Truck,60,88,4713.55,53.56,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2607,South Africa,Direct Drop,DDP,Truck,60,1022,3808.14,3.73,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2608,South Africa,Direct Drop,DDP,Truck,30,500,2112.45,4.22,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2609,Vietnam,Direct Drop,EXW,Air,60,15153,35609.55,2.35,0,"Strides, Bangalore, India.",3595,12632.99,India,3157
2610,Vietnam,Direct Drop,EXW,Air,60,12492,51841.8,4.15,0,Mylan (formerly Matrix) Nashik,See ASN-17806 (ID#:37475),See ASN-17806 (ID#:37475), Nashik,3641
2611,Uganda,Direct Drop,CIP,Air,60,1300,72150.0,55.5,0,"MSD, Haarlem, NL",Weight Captured Separately,Freight Included in Commodity Cost, Haarlem,6190
2612,South Africa,Direct Drop,DDP,Truck,60,22,433.8,19.72,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2613,South Africa,Direct Drop,DDP,Truck,240,3,21.46,7.15,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2614,South Africa,Direct Drop,DDP,Air,60,40751,118992.92,2.92,0,"Aurobindo Unit III, India",4806,6369.79,India,8074
2615,South Africa,Direct Drop,DDP,Truck,30,6304,129614.89,20.56,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2616,Vietnam,Direct Drop,EXW,Air,60,200,3780.0,18.9,0,"Aurobindo Unit III, India",See ASN-6266 (ID#:15368),See ASN-6266 (ID#:15368),India,3157
2617,South Africa,Direct Drop,DDP,Truck,30,9,196.47,21.83,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2618,South Africa,Direct Drop,DDP,Ocean,30,76097,506045.05,6.65,0,"Aurobindo Unit III, India",7105,6121.41,India,8074
2619,South Africa,Direct Drop,DDP,Truck,30,10,234.38,23.44,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2620,Côte d'Ivoire,Direct Drop,FCA,Air,60,2706,18536.1,6.85,0,ABBVIE Ludwigshafen Germany,346,9539.6,Germany,5008
2621,South Africa,Direct Drop,DDP,Truck,60,13,287.28,22.1,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2622,South Africa,Direct Drop,DDP,Air,60,8989,66788.27,7.43,0,"Aurobindo Unit III, India",454,3315.24,India,8074
2623,South Africa,Direct Drop,DDP,Truck,30,55,1833.08,33.33,1,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2624,Haiti,Direct Drop,FCA,Air,60,936,5559.84,5.94,0,ABBVIE Ludwigshafen Germany,128,1637.86,Germany,7877
2625,South Africa,Direct Drop,DDP,Ocean,30,35357,150620.82,4.26,0,"Aurobindo Unit III, India",2806,7292.27,India,8074
2626,South Africa,Direct Drop,DDP,Truck,60,70,3749.42,53.56,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2627,Côte d'Ivoire,Direct Drop,FCA,Air,60,4014,27495.9,6.85,0,ABBVIE Ludwigshafen Germany,507,4520.66,Germany,5008
2628,South Africa,Direct Drop,DDP,Ocean,30,97753,238517.32,2.44,0,"Aurobindo Unit III, India",5778,14558.87,India,8074
2629,South Africa,Direct Drop,DDP,Ocean,30,130800,869820.0,6.65,0,"Aurobindo Unit III, India",12208,13829.57,India,8074
2630,Vietnam,Direct Drop,EXW,Air,30,168,2184.0,13.0,0,"Aurobindo Unit III, India",2046,14405.31,India,3157
2631,Tanzania,Direct Drop,FCA,Air,60,405,3122.55,7.71,0,ABBVIE Ludwigshafen Germany,75,1262.36,Germany,6837
2632,Rwanda,Direct Drop,CIP,Air,60,12730,246070.9,19.33,0,"Aurobindo Unit III, India",See ASN-6489 (ID#:23365),See ASN-6489 (ID#:23365),India,5921
2633,Côte d'Ivoire,Direct Drop,EXW,Air,30,939,21127.5,22.5,0,Mylan (formerly Matrix) Nashik,117,1766.57, Nashik,8608
2634,Vietnam,Direct Drop,EXW,Air,60,6500,72475.0,11.15,0,"Aurobindo Unit III, India",See ASN-5132 (ID#:22186),See ASN-5132 (ID#:22186),India,3157
2635,Haiti,Direct Drop,CIP,Air,180,6705,113716.8,16.96,0,"MSD Patheon, Canada",1979,853.07,Canada,5426
2636,Vietnam,Direct Drop,EXW,Air,60,14055,31623.75,2.25,0,"Aurobindo Unit III, India",1304,2220.86,India,3157
2637,South Africa,Direct Drop,DDP,Truck,240,44,311.64,7.08,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2638,Vietnam,Direct Drop,EXW,Air,60,12785,109951.0,8.6,0,"Aurobindo Unit III, India",See ASN-17077 (ID#:37031),See ASN-17077 (ID#:37031),India,3157
2639,South Africa,Direct Drop,DDP,Truck,60,80,731.44,9.14,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2640,Haiti,Direct Drop,EXW,Ocean,30,33480,435240.0,13.0,0,Mylan (formerly Matrix) Nashik,See ASN-15571 (ID#:21091),See ASN-15571 (ID#:21091), Nashik,14325
2641,"Congo, DRC",Direct Drop,EXW,Air,30,1014,1267.5,1.25,0,"Aurobindo Unit III, India",See ASN-20218 (ID#:20450),See ASN-20218 (ID#:20450),India,6583
2642,Haiti,Direct Drop,EXW,Air,1000,3000,27750.0,9.25,0,"Medopharm Malur Factory, INDIA",See ASN-13412 (ID#:16085),See ASN-13412 (ID#:16085),India,14446
2643,Uganda,Direct Drop,EXW,Air,30,60,780.0,13.0,0,"Aurobindo Unit III, India",4,1045.04,India,5524
2644,South Africa,Direct Drop,DDP,Air,240,60000,601200.0,10.02,0,GSK Mississauga (Canada),22956,27372.24,Canada,15035
2645,South Africa,Direct Drop,DDP,Ocean,30,105707,725150.02,6.86,0,"Cipla, Goa, India",7092,7704.77,India,8074
2646,South Africa,Direct Drop,DDP,Truck,90,25,659.22,26.37,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2647,South Africa,Direct Drop,DDP,Air,240,19098,60158.7,3.15,0,"Aurobindo Unit III, India",7367,3444.28,India,8074
2648,Vietnam,Direct Drop,FCA,Air,30,200,4652.0,23.26,0,ABBVIE Ludwigshafen Germany,22,1475.95,Germany,9157
2649,South Africa,Direct Drop,DDP,Truck,240,13,230.24,17.71,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2650,Vietnam,Direct Drop,EXW,Air,30,13907,155063.05,11.15,0,Mylan (formerly Matrix) Nashik,1578,2689.85, Nashik,3641
2651,South Africa,Direct Drop,DDP,Truck,240,500,3093.93,6.19,0,GSK Mississauga (Canada),Weight Captured Separately,Freight Included in Commodity Cost,Canada,15035
2652,South Africa,Direct Drop,DDP,Truck,120,12,425.03,35.42,0,"Janssen-Cilag, Latina, IT",Weight Captured Separately,Freight Included in Commodity Cost, Latina,7877
2653,South Africa,Direct Drop,DDP,Ocean,240,10603,23962.78,2.26,0,"Aurobindo Unit III, India",3818,11234.1,India,8074
2654,Rwanda,Direct Drop,CIP,Air,60,10620,205284.6,19.33,0,"Aurobindo Unit III, India",1050,18475.61,India,5921
2655,South Africa,Direct Drop,DDP,Truck,60,23,408.18,17.75,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2656,South Africa,Direct Drop,DDP,Truck,30,12,209.09,17.42,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2657,South Africa,Direct Drop,DDP,Truck,240,16,392.16,24.51,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2658,Haiti,Direct Drop,EXW,Air,60,1217,8239.09,6.77,0,"Aurobindo Unit III, India",124,976.44,India,14446
2659,South Africa,Direct Drop,DDP,Truck,90,3,70.76,23.59,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2660,South Africa,Direct Drop,DDP,Truck,30,98,2214.85,22.6,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2661,Tanzania,Direct Drop,EXW,Ocean,30,53149,1057665.1,19.9,0,Mylan (formerly Matrix) Nashik,5803,27478.63, Nashik,5091
2662,South Africa,Direct Drop,DDP,Truck,30,60,935.7,15.6,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2663,Tanzania,Direct Drop,CIP,Air,30,3000,71010.0,23.67,0,"BMS Meymac, France",363,777,France,6771
2664,South Africa,Direct Drop,DDP,Ocean,30,45232,110366.08,2.44,0,"Aurobindo Unit III, India",2674,5301.65,India,8074
2665,South Africa,Direct Drop,DDP,Truck,30,8,134.55,16.82,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2666,Uganda,Direct Drop,EXW,Air,60,46,1200.14,26.09,0,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",3,986.79,India,5524
2667,Vietnam,Direct Drop,EXW,Air,30,21384,217047.6,10.15,0,Mylan (formerly Matrix) Nashik,2406,4219.32, Nashik,3641
2668,Haiti,Direct Drop,FCA,Air,60,612,3635.28,5.94,0,ABBVIE Ludwigshafen Germany,76,1286.68,Germany,7877
2669,Haiti,Direct Drop,FCA,Air,60,350,2397.5,6.85,0,ABBVIE Ludwigshafen Germany,51,4126.9,Germany,7877
2670,South Africa,Direct Drop,DDP,Truck,60,82,5009.96,61.1,1,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2671,South Africa,Direct Drop,DDP,Truck,30,60,1327.39,22.12,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
2672,South Africa,Direct Drop,DDP,Truck,60,2500,21941.29,8.78,0,GSK Cape Town Factory (South Africa),Weight Captured Separately,Freight Included in Commodity Cost,South Africa,0
2673,Tanzania,Direct Drop,EXW,Air,60,31528,171197.04,5.43,0,"Aurobindo Unit III, India",1899,10879.44,India,5659
2674,South Africa,Direct Drop,DDP,Truck,30,9,196.8,21.87,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2675,Rwanda,Direct Drop,CIP,Air,30,276,6187.92,22.42,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,5921
2676,South Africa,Direct Drop,DDP,Ocean,30,39878,265188.7,6.65,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2677,South Africa,Direct Drop,DDP,Truck,240,14,111.95,8.0,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2678,South Africa,Direct Drop,DDP,Truck,60,51,466.28,9.14,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2679,Vietnam,Direct Drop,EXW,Air,60,13000,29900.0,2.3,0,"Aurobindo Unit III, India",See ASN-13475 (ID#:15772),See ASN-13475 (ID#:15772),India,3157
2680,South Africa,Direct Drop,DDP,Ocean,60,104636,284609.92,2.72,0,"Cipla, Goa, India",11275,8527.46,India,8074
2681,South Africa,Direct Drop,DDP,Truck,30,182,541.83,2.98,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2682,Vietnam,Direct Drop,FCA,Air,60,396,6023.16,15.21,0,ABBVIE Ludwigshafen Germany,53,439.17,Germany,9157
2683,Rwanda,Direct Drop,EXW,Air,60,57961,130412.25,2.25,0,"Aurobindo Unit III, India",5525,43237.33,India,5921
2684,Vietnam,Direct Drop,EXW,Air,30,40890,175827.0,4.3,0,Mylan (formerly Matrix) Nashik,3329,10455.35, Nashik,3641
2685,Vietnam,Direct Drop,EXW,Air,30,30339,348595.11,11.49,0,Mylan (formerly Matrix) Nashik,3419,15006.27, Nashik,3641
2686,Vietnam,Direct Drop,EXW,Air,30,3000,9900.0,3.3,0,"Aurobindo Unit III, India",Weight Captured Separately,Invoiced Separately,India,3157
2687,Vietnam,Direct Drop,EXW,Air,30,20142,99702.9,4.95,0,Mylan (formerly Matrix) Nashik,6142,13850.65, Nashik,3641
2688,Côte d'Ivoire,Direct Drop,CIP,Air,180,3399,57647.04,16.96,0,"MSD, Haarlem, NL",1014,2093.32, Haarlem,5009
2689,South Africa,Direct Drop,DDP,Truck,60,189,1248.67,6.61,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2690,South Africa,Direct Drop,DDP,Truck,120,62,1549.54,24.99,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Freight Included in Commodity Cost,Germany,8973
2691,Vietnam,Direct Drop,EXW,Air,60,9744,14128.8,1.45,0,"Aurobindo Unit III, India",656,6158,India,3157
2692,Uganda,Direct Drop,FCA,Air,60,210,1554.0,7.4,0,ABBVIE Ludwigshafen Germany,36,677.4,Germany,5868
2693,South Africa,Direct Drop,DDP,Air,60,33972,85949.16,2.53,0,"Aurobindo Unit III, India",1823,1791.42,India,8074
2694,South Africa,Direct Drop,DDP,Truck,60,20,1599.83,79.99,1,"MSD, Haarlem, NL",Weight Captured Separately,Freight Included in Commodity Cost, Haarlem,9211
2695,South Africa,Direct Drop,DDP,Truck,60,408,1608.59,3.94,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2696,South Africa,Direct Drop,DDP,Truck,30,621,12768.22,20.56,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2697,South Africa,Direct Drop,DDP,Truck,30,17,368.99,21.71,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2698,Uganda,Direct Drop,EXW,Air,30,6907,124326.0,18.0,0,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Weight Captured Separately,Invoiced Separately,India,5524
2699,Vietnam,Direct Drop,EXW,Air,30,300,3900.0,13.0,0,"Aurobindo Unit III, India",21,3657.69,India,3157
2700,Vietnam,Direct Drop,FCA,Air,120,1010,83022.0,82.2,0,ABBVIE Ludwigshafen Germany,255,8227.99,Germany,9157
2701,South Africa,Direct Drop,DDP,Truck,60,920,25777.7,28.02,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2702,South Africa,Direct Drop,DDP,Truck,60,27,620.91,23.0,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2703,South Africa,Direct Drop,DDP,Truck,240,1021,23275.52,22.8,0,GSK Mississauga (Canada),Weight Captured Separately,Freight Included in Commodity Cost,Canada,15035
2704,South Africa,Direct Drop,DDP,Truck,120,23,592.47,25.76,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Freight Included in Commodity Cost,Germany,8973
2705,South Africa,Direct Drop,DDP,Ocean,90,25000,204250.0,8.17,0,"Aurobindo Unit III, India",3313,5192.74,India,8074
