,index,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,mfg_site,weight,freight_cost,location,distance,fair_cost
1804,3261,South Africa,Direct Drop,DDP,Air,60,85111,246821.9,2.9,0.05,"Strides, Bangalore, India.",5437.0,9205.05,India,8074.0,45412.07
1805,3262,Vietnam,Direct Drop,FCA,Air,120,3434,208855.88,60.82,0.51,ABBVIE Ludwigshafen Germany,826.0,3315.82,Germany,9157.0,7610.94
1806,3264,Rwanda,Direct Drop,FCA,Air,60,1305,10061.55,7.71,0.13,ABBVIE Ludwigshafen Germany,150.0,2682.48,Germany,6174.0,936.91
1807,3265,Haiti,Direct Drop,EXW,Air,120,740,27750.0,37.5,0.31,"Aurobindo Unit III, India",183.0,2418.62,India,14446.0,2622.47
1808,3268,Tanzania,Direct Drop,EXW,Air,60,53239,431235.9,8.1,0.13,"Cipla, Goa, India",7696.0,33442.63,India,5659.0,41938.64
1809,3269,Haiti,Direct Drop,EXW,Air,30,240,4800.0,20.0,0.67,"Aurobindo Unit III, India",19.0,971.7,India,14446.0,275.85
1810,3270,South Africa,Direct Drop,DDP,Ocean,30,96224,413763.2,4.3,0.14,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",7556.0,9582.53,India,8074.0,59588.37
1811,3275,Vietnam,Direct Drop,FCA,Air,30,326,7582.76,23.26,0.78,ABBVIE Ludwigshafen Germany,34.0,404.78,Germany,9157.0,313.21
1812,3276,South Africa,Direct Drop,DDP,Ocean,240,10000,92800.0,9.28,0.04,GSK Mississauga (Canada),3853.0,4228.61,Canada,15035.0,59927.44
1813,3278,South Africa,Direct Drop,DDP,Ocean,30,70,315.7,4.51,0.15,"Aurobindo Unit III, India",6.0,9951.38,India,8074.0,48.34
1814,3280,Tanzania,Direct Drop,FCA,Air,120,9007,325693.12,36.16,0.3,ABBVIE Ludwigshafen Germany,2020.0,9169.63,Germany,6837.0,13749.63
1815,3282,Tanzania,Direct Drop,EXW,Air,60,28800,74880.0,2.6,0.04,"Aurobindo Unit III, India",3396.0,16416.58,India,5659.0,17739.66
1816,3283,Tanzania,Direct Drop,EXW,Air,60,20000,221800.0,11.09,0.18,Mylan (formerly Matrix) Nashik,2069.0,9716.76, Nashik,5091.0,10257.84
1817,3284,Côte d'Ivoire,Direct Drop,FCA,Air,120,28000,862960.0,30.82,0.26,ABBVIE Ludwigshafen Germany,7025.0,46002.44,Germany,5008.0,35614.97
1818,3285,Haiti,Direct Drop,EXW,Air,30,5500,77550.0,14.1,0.47,Mylan (formerly Matrix) Nashik,647.0,4877.34, Nashik,14325.0,9268.28
1819,3286,South Africa,Direct Drop,DDP,Ocean,240,50000,103000.0,2.06,0.01,"Cipla, Goa, India",18417.0,11534.48,India,8074.0,173241.39
1820,3289,Vietnam,Direct Drop,EXW,Air,60,9377,50542.03,5.39,0.09,"Strides, Bangalore, India.",692.0,8494.45,India,3157.0,2188.7
1821,3290,South Africa,Direct Drop,DDP,Air,240,19060,60039.0,3.15,0.01,"Aurobindo Unit III, India",7353.0,4876.34,India,8074.0,45232.85
1822,3292,South Africa,Direct Drop,DDP,Ocean,240,2244,20824.32,9.28,0.04,GSK Mississauga (Canada),870.0,3755.91,Canada,15035.0,13531.5
1823,3293,Nigeria,Direct Drop,EXW,Air,60,25932,140810.76,5.43,0.09,"Aurobindo Unit III, India",1548.0,11663.16,India,7633.0,11750.6
1824,3297,Haiti,Direct Drop,EXW,Air,30,1000,18000.0,18.0,0.6,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",133.0,1604.56,India,14446.0,1921.32
1825,3298,Uganda,Direct Drop,EXW,Air,120,102,9180.0,90.0,0.75,"Aspen-OSD, Port Elizabeth, SA",15.0,845.1, Port Elizabeth,3989.0,59.84
1826,3301,Uganda,Direct Drop,DDP,Air,120,100,6660.0,66.6,0.55,"Aspen-OSD, Port Elizabeth, SA",14.0,527.0, Port Elizabeth,3989.0,55.34
1827,3303,Vietnam,Direct Drop,EXW,Air,30,32673,375412.77,11.49,0.38,Mylan (formerly Matrix) Nashik,3425.0,11077.85, Nashik,3641.0,12372.75
1828,3307,Tanzania,Direct Drop,EXW,Air,60,37012,300907.56,8.13,0.14,"Aurobindo Unit III, India",4699.0,17907.7,India,5659.0,27474.76
1829,3308,South Africa,Direct Drop,DDP,Ocean,60,116000,327120.0,2.82,0.05,"Strides, Bangalore, India.",7193.0,8559.24,India,8074.0,61783.28
1830,3309,Uganda,Direct Drop,EXW,Air,30,961,1201.25,1.25,0.04,"Aurobindo Unit III, India",53.0,1203.4,India,5524.0,281.06
1831,3310,Haiti,Direct Drop,EXW,Air,30,384,7680.0,20.0,0.67,"Aurobindo Unit III, India",30.0,1119.09,India,14446.0,435.55
1832,3311,Côte d'Ivoire,Direct Drop,EXW,Air,30,3200,64000.0,20.0,0.67,Mylan (formerly Matrix) Nashik,430.0,3587.34, Nashik,8608.0,3719.95
1833,3312,Vietnam,Direct Drop,FCA,Air,120,8225,676095.0,82.2,0.68,ABBVIE Ludwigshafen Germany,2018.0,10263.55,Germany,9157.0,18343.94
1834,3315,South Africa,Direct Drop,DDP,Air,240,19050,60007.5,3.15,0.01,"Aurobindo Unit III, India",7349.0,4876.34,India,8074.0,45208.25
1835,3316,Vietnam,Direct Drop,EXW,Air,30,62369,268186.7,4.3,0.14,Mylan (formerly Matrix) Nashik,5009.0,17031.91, Nashik,3641.0,17813.63
1836,3317,South Africa,Direct Drop,DDP,Air,60,44168,328168.24,7.43,0.12,"Aurobindo Unit III, India",2373.0,1697.9,India,8074.0,18566.51
1837,3318,Vietnam,Direct Drop,FCA,Air,30,450,10467.0,23.26,0.78,ABBVIE Ludwigshafen Germany,56.0,520.19,Germany,9157.0,515.88
1838,3319,Uganda,Direct Drop,DAP,Air,120,178,6408.0,36.0,0.3,"Janssen-Cilag, Latina, IT",90.0,989.0, Latina,4823.0,434.07
1839,3320,Vietnam,Direct Drop,EXW,Air,60,43262,101665.7,2.35,0.04,"Strides, Bangalore, India.",2035.0,8711.4,India,3157.0,6561.19
1840,3322,"Congo, DRC",Direct Drop,EXW,Air,30,100,758.0,7.58,0.25,"Aurobindo Unit III, India",9.0,734.66,India,6583.0,58.62
1841,3323,South Africa,Direct Drop,DDP,Ocean,30,116857,777099.05,6.65,0.22,"Aurobindo Unit III, India",10907.0,7905.94,India,8074.0,87400.99
1842,3325,Vietnam,Direct Drop,CIP,Air,60,520,3640.0,7.0,0.12,"BMS Meymac, France",104.0,2658.09,France,9916.0,1060.73
1843,3326,Haiti,Direct Drop,EXW,Air,30,28080,89575.2,3.19,0.11,"Strides, Bangalore, India.",1772.0,11656.59,India,14446.0,26481.01
1844,3327,Côte d'Ivoire,Direct Drop,FCA,Air,120,10280,371724.8,36.16,0.3,ABBVIE Ludwigshafen Germany,2573.0,13562.35,Germany,5008.0,12828.57
1845,3329,South Africa,Direct Drop,DDP,Ocean,240,35000,74200.0,2.12,0.01,"Aurobindo Unit III, India",12974.0,11138.89,India,8074.0,118587.26
1846,3331,Rwanda,Direct Drop,FCA,Air,60,642,3813.48,5.94,0.1,ABBVIE Ludwigshafen Germany,83.0,929.85,Germany,6174.0,517.62
1847,3332,Côte d'Ivoire,Direct Drop,EXW,Air,60,712,10680.0,15.0,0.25,"Aurobindo Unit III, India",147.0,1836.81,India,9091.0,1336.38
1848,3335,South Africa,Direct Drop,DDP,Air,60,23800,176834.0,7.43,0.12,"Aurobindo Unit III, India",1273.0,3296.58,India,8074.0,9960.03
1849,3336,Tanzania,Direct Drop,EXW,Air,60,32002,260816.3,8.15,0.14,"Aurobindo Unit III, India",4059.0,17997.84,India,5659.0,23674.48
1850,3339,Tanzania,Direct Drop,EXW,Air,60,37589,268761.35,7.15,0.12,"Aurobindo Unit III, India",3267.0,13180.76,India,5659.0,18617.24
1851,3340,Zambia,Direct Drop,CIP,Air,120,22000,816200.0,37.1,0.31,ABBVIE Ludwigshafen Germany,4959.0,2173.4,Germany,7464.0,37113.74
1852,3344,Côte d'Ivoire,Direct Drop,FCA,Air,60,3000,20550.0,6.85,0.11,ABBVIE Ludwigshafen Germany,385.0,3765.28,Germany,5008.0,1857.71
1853,3346,Côte d'Ivoire,Direct Drop,EXW,Air,30,1984,15038.72,7.58,0.25,"Aurobindo Unit III, India",46.0,1899.89,India,9091.0,413.77
1854,3347,Tanzania,Direct Drop,EXW,Air,60,1028,22616.0,22.0,0.37,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",107.0,1794.89,India,5659.0,611.02
1855,3349,Vietnam,Direct Drop,EXW,Air,60,672,940.8,1.4,0.02,"Strides, Bangalore, India.",32.0,1701.1,India,3157.0,86.59
1856,3350,Vietnam,Direct Drop,EXW,Air,60,20000,129800.0,6.49,0.11,Mylan (formerly Matrix) Nashik,1748.0,3868.49, Nashik,3641.0,6472.34
1857,3351,Côte d'Ivoire,Direct Drop,FCA,Air,60,3450,23632.5,6.85,0.11,ABBVIE Ludwigshafen Germany,440.0,4588.02,Germany,5008.0,2123.1
1858,3354,Vietnam,Direct Drop,EXW,Air,60,840,6300.0,7.5,0.12,Mylan (formerly Matrix) Nashik,57.0,8747.56, Nashik,3641.0,199.24
1859,3357,Tanzania,Direct Drop,EXW,Air,30,3550,5538.0,1.56,0.05,"Aurobindo Unit III, India",255.0,2454.46,India,5659.0,1387.54
1860,3359,Vietnam,Direct Drop,FCA,Air,120,1820,149604.0,82.2,0.68,ABBVIE Ludwigshafen Germany,445.0,4755.76,Germany,9157.0,4045.12
1861,3362,South Africa,Direct Drop,DDP,Ocean,30,105278,740104.34,7.03,0.23,"Cipla, Goa, India",7225.0,6038.21,India,8074.0,57255.92
1862,3363,Vietnam,Direct Drop,EXW,Air,60,10508,43608.2,4.15,0.07,Mylan (formerly Matrix) Nashik,678.0,2148.1, Nashik,3641.0,2498.34
1863,3364,Rwanda,Direct Drop,EXW,Ocean,30,131704,683543.76,5.19,0.17,Mylan (formerly Matrix) Nashik,10116.0,24250.15, Nashik,5355.0,53231.8
1864,3366,Uganda,Direct Drop,EXW,Air,30,9051,11313.75,1.25,0.04,"Aurobindo Unit III, India",575.0,3231.11,India,5524.0,3049.25
1865,3367,Uganda,Direct Drop,CIP,Air,180,153,7650.0,50.0,0.28,"MSD, Haarlem, NL",34.0,395.0, Haarlem,6190.0,212.14
1866,3369,Vietnam,Direct Drop,EXW,Air,30,19152,124488.0,6.5,0.22,Mylan (formerly Matrix) Nashik,1503.0,11884.14, Nashik,3641.0,5556.61
1867,3370,Tanzania,Direct Drop,EXW,Air,30,10565,211300.0,20.0,0.67,Mylan (formerly Matrix) Nashik,1412.0,6758.01, Nashik,5091.0,7224.43
1868,3371,Vietnam,Direct Drop,FCA,Air,120,4800,291936.0,60.82,0.51,ABBVIE Ludwigshafen Germany,1175.0,1779.1,Germany,9157.0,10826.7
1869,3376,Vietnam,Direct Drop,EXW,Air,60,11004,94084.2,8.55,0.14,"Aurobindo Unit III, India",1073.0,9535.67,India,3157.0,3328.03
1870,3379,Uganda,Direct Drop,EXW,Air,120,112,10080.0,90.0,0.75,"Aspen-OSD, Port Elizabeth, SA",16.0,1000.94, Port Elizabeth,3989.0,63.82
1871,3380,Uganda,Direct Drop,EXW,Air,30,1262,28395.0,22.5,0.75,Mylan (formerly Matrix) Nashik,173.0,935.89, Nashik,4961.0,858.25
1872,3383,Uganda,Direct Drop,FCA,Air,60,587,4020.95,6.85,0.11,ABBVIE Ludwigshafen Germany,85.0,1253.45,Germany,5868.0,480.58
1873,3384,Zimbabwe,Direct Drop,EXW,Air Charter,60,158000,347600.0,2.2,0.04,"Strides, Bangalore, India.",9832.0,68350.52,India,6980.0,74866.21
1874,3385,South Africa,Direct Drop,DDP,Air,60,57494,427180.42,7.43,0.12,"Aurobindo Unit III, India",3085.0,4885.2,India,8074.0,24137.24
1875,3387,Tanzania,Direct Drop,EXW,Air,60,6934,18028.4,2.6,0.04,"Aurobindo Unit III, India",820.0,18044.49,India,5659.0,4283.43
1876,3388,"Congo, DRC",Direct Drop,EXW,Air,30,550,6050.0,11.0,0.37,"Aurobindo Unit III, India",54.0,1961.49,India,6583.0,358.71
1877,3389,South Africa,Direct Drop,DDP,Ocean,30,150000,1029000.0,6.86,0.23,"Cipla, Goa, India",10156.0,13731.6,India,8074.0,82477.68
1878,3390,Haiti,Direct Drop,CIP,Air,180,342,5800.32,16.96,0.09,"MSD, Haarlem, NL",109.0,290.0, Haarlem,7467.0,777.43
1879,3392,Vietnam,Direct Drop,EXW,Air,60,46100,83441.0,1.81,0.03,"Micro labs, Verna, Goa, India",2350.0,10627.8,India,3157.0,7377.96
1880,3395,South Africa,Direct Drop,DDP,Air,60,66660,168649.8,2.53,0.04,"Aurobindo Unit III, India",3211.0,4116.81,India,8074.0,24593.47
1881,3396,South Africa,Direct Drop,DDP,Ocean,30,127904,579405.12,4.53,0.15,"Aurobindo Unit III, India",10980.0,15331.5,India,8074.0,88065.42
1882,3406,Vietnam,Direct Drop,EXW,Air,60,40400,248460.0,6.15,0.1,"Cipla, Goa, India",3919.0,12704.0,India,3157.0,12070.52
1883,3408,Uganda,Direct Drop,CIP,Air,60,774,42957.0,55.5,0.92,"MSD, Haarlem, NL",92.0,1114.0, Haarlem,6190.0,566.4
1884,3409,South Africa,Direct Drop,DDP,Air,30,51828,405294.96,7.82,0.26,"Cipla, Goa, India",3543.0,3646.13,India,8074.0,28533.02
1885,3411,Zimbabwe,Direct Drop,EXW,Air,90,5291,23386.22,4.42,0.05,"Micro labs, Verna, Goa, India",800.0,5697.64,India,6980.0,5685.07
1886,3412,South Africa,Direct Drop,DDP,Ocean,30,128467,581955.51,4.53,0.15,"Aurobindo Unit III, India",11033.0,11203.81,India,8074.0,88490.51
1887,3415,Vietnam,Direct Drop,EXW,Air,60,9072,77565.6,8.55,0.14,"Aurobindo Unit III, India",902.0,7421.81,India,3157.0,2797.66
1888,3416,Rwanda,Direct Drop,EXW,Air,30,8000,144000.0,18.0,0.6,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",1045.0,6949.93,India,5921.0,6187.44
1889,3419,South Africa,Direct Drop,DDP,Ocean,30,65000,420550.0,6.47,0.22,"Cipla, Goa, India",4364.0,10758.45,India,8074.0,35942.9
1890,3423,South Africa,Direct Drop,DDP,Ocean,60,86467,633803.11,7.33,0.12,"Aurobindo Unit III, India",4364.0,4295.6,India,8074.0,34610.03
1891,3425,South Africa,Direct Drop,DDP,Ocean,30,246113,1048441.38,4.26,0.14,"Aurobindo Unit III, India",20896.0,16429.13,India,8074.0,166338.05
1892,3426,Côte d'Ivoire,Direct Drop,CIP,Air,30,3600,181440.0,50.4,1.68,"MSD, Haarlem, NL",402.0,1924.57, Haarlem,5009.0,2013.62
1893,3428,Haiti,Direct Drop,EXW,Air,60,4680,51433.2,10.99,0.18,Mylan (formerly Matrix) Nashik,487.0,3463.53, Nashik,14325.0,6855.67
1894,3429,South Africa,Direct Drop,DDP,Air,240,32000,320640.0,10.02,0.04,GSK Mississauga (Canada),12264.0,10277.92,Canada,15035.0,176660.35
1895,3430,Vietnam,Direct Drop,EXW,Air,60,24428,268463.72,10.99,0.18,Mylan (formerly Matrix) Nashik,3408.0,13674.64, Nashik,3641.0,12194.0
1896,3431,Uganda,Direct Drop,EXW,Ocean,30,63652,203049.88,3.19,0.11,"Strides, Bangalore, India.",3914.0,7769.41,India,5524.0,22366.49
1897,3432,South Africa,Direct Drop,DDP,Ocean,30,80381,555432.71,6.91,0.23,"Aurobindo Unit III, India",7503.0,6147.08,India,8074.0,60491.55
1898,3433,Côte d'Ivoire,Direct Drop,EXW,Air,30,827,9097.0,11.0,0.37,"Aurobindo Unit III, India",72.0,1721.91,India,9091.0,660.5
1899,3435,Haiti,Direct Drop,EXW,Air,60,2594,9338.4,3.6,0.06,"Cipla, Goa, India",231.0,2076.58,India,14446.0,3337.03
1900,3436,Vietnam,Direct Drop,EXW,Air,60,50000,117500.0,2.35,0.04,"Strides, Bangalore, India.",2537.0,9145.1,India,3157.0,8179.72
1901,3438,Vietnam,Direct Drop,EXW,Air,60,29847,70140.45,2.35,0.04,"Strides, Bangalore, India.",1403.0,6475.64,India,3157.0,4523.51
1902,3439,Vietnam,Direct Drop,EXW,Air,60,22430,41271.2,1.84,0.03,"Micro labs, Verna, Goa, India",939.0,2040.93,India,3157.0,2899.98
1903,3440,Vietnam,Direct Drop,EXW,Air,30,8400,65100.0,7.75,0.26,"Aurobindo Unit III, India",909.0,5964.52,India,3157.0,2888.23
1904,3441,Tanzania,Direct Drop,EXW,Air,60,53051,379314.65,7.15,0.12,"Aurobindo Unit III, India",4611.0,21225.33,India,5659.0,26276.12
1905,3443,Tanzania,Direct Drop,FCA,Air,60,407,2592.59,6.37,0.11,ABBVIE Ludwigshafen Germany,68.0,1264.16,Germany,6837.0,481.7
1906,3445,Uganda,Direct Drop,FCA,Air,60,337,2308.45,6.85,0.11,ABBVIE Ludwigshafen Germany,55.0,1013.7,Germany,5868.0,310.96
1907,3446,Uganda,Direct Drop,EXW,Air,30,252,509.04,2.02,0.07,"Micro labs, Verna, Goa, India",9.0,1678.53,India,5524.0,51.68
1908,3447,Rwanda,Direct Drop,EXW,Air,60,58234,131026.5,2.25,0.04,"Aurobindo Unit III, India",5551.0,49069.74,India,5921.0,35058.64
1909,3448,Zambia,Direct Drop,EXW,Air,60,12425,27956.25,2.25,0.04,"Aurobindo Unit III, India",1273.0,6637.36,India,6906.0,9377.43
1910,3450,South Africa,Direct Drop,DDP,Ocean,60,25342,60060.54,2.37,0.04,"Aurobindo Unit III, India",1279.0,11372.22,India,8074.0,10457.36
1911,3452,Tanzania,Direct Drop,FCA,Air,60,1956,11618.64,5.94,0.1,ABBVIE Ludwigshafen Germany,230.0,2215.81,Germany,6837.0,1588.39
1912,3454,Vietnam,Direct Drop,EXW,Air,60,50000,117500.0,2.35,0.04,"Strides, Bangalore, India.",2351.0,10122.75,India,3157.0,7580.02
1913,3456,Haiti,Direct Drop,EXW,Air,60,482,2410.0,5.0,0.08,"Cipla, Patalganga, India",50.0,1342.44,India,14446.0,693.41
1914,3457,South Africa,Direct Drop,DDP,Ocean,30,100,665.0,6.65,0.22,"Aurobindo Unit III, India",11.0,8809.05,India,8074.0,88.15
1915,3458,Haiti,Direct Drop,EXW,Air,60,7867,28321.2,3.6,0.06,"Cipla, Goa, India",811.0,5915.63,India,14446.0,11715.71
1916,3459,Zimbabwe,Direct Drop,EXW,Air,30,8000,180000.0,22.5,0.75,Premier Med. Corp Ltd. India,2460.0,13380.07,India,6980.0,17170.8
1917,3460,South Africa,Direct Drop,DDP,Ocean,60,164908,407322.76,2.47,0.04,"Strides, Bangalore, India.",8048.0,12225.76,India,8074.0,63138.03
1918,3462,Rwanda,Direct Drop,CIP,Air,60,672,2466.24,3.67,0.06,"Cipla, Goa, India",50.0,3011.72,India,5921.0,290.4
1919,3465,"Congo, DRC",Direct Drop,EXW,Air,30,240,312.0,1.3,0.04,"Aurobindo Unit III, India",30.0,1678.57,India,6583.0,182.3
1920,3470,Haiti,Direct Drop,EXW,Ocean,30,21203,68697.72,3.24,0.11,"Cipla, Goa, India",2471.0,4532.44,India,14446.0,36357.1
1921,3473,Vietnam,Direct Drop,EXW,Air,60,3753,9532.62,2.54,0.04,"Strides, Bangalore, India.",216.0,4146.33,India,3157.0,644.33
1922,3474,Uganda,Direct Drop,EXW,Air,60,22500,52875.0,2.35,0.04,"Aurobindo Unit III, India",2145.0,8143.97,India,5524.0,12101.09
1923,3477,Rwanda,Direct Drop,FCA,Air,60,1575,12143.25,7.71,0.13,ABBVIE Ludwigshafen Germany,186.0,2874.03,Germany,6174.0,1161.77
1924,3479,Tanzania,Direct Drop,FCA,Air,120,7145,258363.2,36.16,0.3,ABBVIE Ludwigshafen Germany,1604.0,9915.56,Germany,6837.0,10918.02
1925,3480,South Africa,Direct Drop,DDP,Ocean,30,64260,289812.6,4.51,0.15,"Aurobindo Unit III, India",5623.0,630.5,India,8074.0,45299.44
1926,3483,South Africa,Direct Drop,DDP,Air,30,56970,266049.9,4.67,0.16,"Aurobindo Unit III, India",4822.0,5886.9,India,8074.0,40016.61
1927,3484,Haiti,Direct Drop,FCA,Air,60,360,2775.6,7.71,0.13,ABBVIE Ludwigshafen Germany,46.0,984.39,Germany,7877.0,366.57
1928,3485,South Africa,Direct Drop,DDP,Ocean,30,21896,145608.4,6.65,0.22,"Aurobindo Unit III, India",2044.0,5768.66,India,8074.0,16379.17
1929,3486,South Africa,Direct Drop,DDP,Ocean,30,92000,216200.0,2.35,0.08,"Aurobindo Unit III, India",5184.0,9592.95,India,8074.0,42746.16
1930,3488,"Congo, DRC",Direct Drop,EXW,Air,1000,720,16164.0,22.45,0.02,"Guilin OSD site, No 17, China",578.0,3089.83,China,9399.0,4839.75
1931,3489,Haiti,Direct Drop,EXW,Air,30,8000,144000.0,18.0,0.6,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",1023.0,6433.8,India,14446.0,14778.26
1932,3492,Haiti,Direct Drop,CIP,Air,180,167,2832.32,16.96,0.09,"MSD, Haarlem, NL",47.0,290.0, Haarlem,7467.0,335.22
1933,3494,Vietnam,Direct Drop,EXW,Air,60,591,6737.4,11.4,0.19,"Aurobindo Unit III, India",36.0,430.5,India,3157.0,113.65
1934,3495,Haiti,Direct Drop,FCA,Air,60,111,5994.0,54.0,0.9,"Janssen-Cilag, Latina, IT",42.0,926.3, Latina,8250.0,346.5
1935,3496,South Africa,Direct Drop,DDP,Ocean,90,17357,173222.86,9.98,0.11,"Aurobindo Unit III, India",2301.0,4573.2,India,8074.0,18429.35
1936,3499,South Africa,Direct Drop,DDP,Ocean,30,47963,206240.9,4.3,0.14,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",3789.0,9582.55,India,8074.0,29880.94
1937,3500,South Africa,Direct Drop,DDP,Ocean,30,118537,534601.87,4.51,0.15,"Aurobindo Unit III, India",10373.0,630.5,India,8074.0,83565.9
1938,3502,Tanzania,Direct Drop,EXW,Air,60,39360,281424.0,7.15,0.12,"Aurobindo Unit III, India",3421.0,15241.75,India,5659.0,19494.82
1939,3504,Mozambique,Direct Drop,FCA,Air,60,616,4219.6,6.85,0.11,ABBVIE Ludwigshafen Germany,87.0,1053.88,Germany,8163.0,684.26
1940,3506,Côte d'Ivoire,Direct Drop,EXW,Air,60,4448,133440.0,30.0,0.5,Mylan (formerly Matrix) Nashik,693.0,5066.44, Nashik,8608.0,5965.34
1941,3509,Uganda,Direct Drop,FCA,Air,60,210,1438.5,6.85,0.11,ABBVIE Ludwigshafen Germany,32.0,852.02,Germany,5868.0,180.92
1942,3514,South Africa,Direct Drop,DDP,Ocean,240,50000,103000.0,2.06,0.01,"Cipla, Goa, India",18462.0,22647.81,India,8074.0,173664.69
1943,3519,Côte d'Ivoire,Direct Drop,FCA,Air,336,300,11508.0,38.36,0.11,ABBVIE (Abbott) France,546.0,8956.05,France,4338.0,2282.1
1944,3520,South Africa,Direct Drop,DDP,Ocean,60,90171,658248.3,7.3,0.12,"Aurobindo Unit III, India",4670.0,3341.45,India,8074.0,37189.07
1945,3521,South Africa,Direct Drop,DDP,Ocean,60,185748,440222.76,2.37,0.04,"Aurobindo Unit III, India",9374.0,11372.23,India,8074.0,76643.72
1946,3524,Uganda,Direct Drop,EXW,Air,30,1776,31968.0,18.0,0.6,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",237.0,1794.89,India,5524.0,1309.19
1947,3525,Tanzania,Direct Drop,EXW,Air,60,36451,297075.65,8.15,0.14,"Aurobindo Unit III, India",4611.0,20618.55,India,5659.0,26894.07
1948,3530,Uganda,Direct Drop,FCA,Air,120,480,17356.8,36.16,0.3,ABBVIE Ludwigshafen Germany,126.0,1360.34,Germany,5868.0,736.1
1949,3531,Côte d'Ivoire,Direct Drop,EXW,Air,30,4500,90000.0,20.0,0.67,Mylan (formerly Matrix) Nashik,608.0,4568.92, Nashik,8608.0,5259.83
1950,3532,South Africa,Direct Drop,DDP,Ocean,240,20000,185600.0,9.28,0.04,GSK Mississauga (Canada),7664.0,8301.76,Canada,15035.0,119201.63
1951,3535,Uganda,Direct Drop,EXW,Air,30,61386,92079.0,1.5,0.05,Mylan (formerly Matrix) Nashik,3262.0,12034.96, Nashik,4961.0,16182.78
1952,3537,Uganda,Direct Drop,CIP,Air,180,36,1800.0,50.0,0.28,"MSD, Haarlem, NL",9.0,286.0, Haarlem,6190.0,56.16
1953,3542,South Africa,Direct Drop,DDP,Ocean,30,78595,354463.45,4.51,0.15,"Aurobindo Unit III, India",6681.0,9323.27,India,8074.0,53822.79
1954,3543,Haiti,Direct Drop,FCA,Air,60,200,1900.0,9.5,0.16,"BMS Meymac, France",94.0,757.42,France,7294.0,692.85
1955,3544,Rwanda,Direct Drop,EXW,Ocean,30,39330,511290.0,13.0,0.43,Mylan (formerly Matrix) Nashik,4426.0,66916.5, Nashik,5355.0,23518.91
1956,3545,Haiti,Direct Drop,CIP,Air,180,270,4579.2,16.96,0.09,"MSD Patheon, Canada",76.0,290.0,Canada,5426.0,393.9
1957,3546,Vietnam,Direct Drop,EXW,Air,60,8904,12465.6,1.4,0.02,"Strides, Bangalore, India.",429.0,2633.91,India,3157.0,1160.87
1958,3548,South Africa,Direct Drop,DDP,Ocean,60,158000,440820.0,2.79,0.05,"Cipla, Goa, India",16768.0,23721.9,India,8074.0,145575.09
1959,3551,Vietnam,Direct Drop,EXW,Air,60,408,5911.92,14.49,0.24,Mylan (formerly Matrix) Nashik,42.0,4388.84, Nashik,3641.0,151.97
1960,3552,Vietnam,Direct Drop,EXW,Air,60,30080,171155.2,5.69,0.09,"Cipla, Goa, India",2933.0,12067.26,India,3157.0,8787.56
1961,3554,Nigeria,Direct Drop,EXW,Air,540,30,1207.5,40.25,0.07,"Novartis Pharma AG, Switzerland",1295.0,8423.76,Switzerland,4123.0,5014.29
1962,3555,Haiti,Direct Drop,FCA,Air,60,80,475.2,5.94,0.1,ABBVIE Ludwigshafen Germany,8.0,737.12,Germany,7877.0,63.65
1963,3557,Vietnam,Direct Drop,EXW,Air,30,46802,537754.98,11.49,0.38,Mylan (formerly Matrix) Nashik,5281.0,13625.75, Nashik,3641.0,19077.51
1964,3561,South Africa,Direct Drop,DDP,Ocean,60,5360,14579.2,2.72,0.05,"Cipla, Goa, India",583.0,5824.11,India,8074.0,5191.7
1965,3562,Vietnam,Direct Drop,EXW,Air,60,49920,284044.8,5.69,0.09,"Cipla, Goa, India",4799.0,10959.54,India,3157.0,14378.28
1966,3564,Vietnam,Direct Drop,EXW,Air,60,3024,4384.8,1.45,0.02,"Aurobindo Unit III, India",202.0,1615.88,India,3157.0,527.76
1967,3568,Côte d'Ivoire,Direct Drop,FCA,Air,120,12560,454169.6,36.16,0.3,ABBVIE Ludwigshafen Germany,3080.0,18459.58,Germany,5008.0,15356.39
1968,3569,Zambia,Direct Drop,EXW,Air,60,38939,87612.75,2.25,0.04,"Aurobindo Unit III, India",3962.0,20233.34,India,6906.0,29185.68
1969,3571,Tanzania,Direct Drop,EXW,Air,30,11912,18582.72,1.56,0.05,"Aurobindo Unit III, India",802.0,5740.54,India,5659.0,4363.96
1970,3572,Rwanda,Direct Drop,CIP,Air,30,18000,360000.0,20.0,0.67,Mylan (formerly Matrix) Nashik,2402.0,1832.54, Nashik,5355.0,12927.02
