,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
3690,South Africa,Direct Drop,DDP,Truck,60,10,278,27,0.46,3622,10181,India,8074
3691,Mozambique,Direct Drop,CIP,Air,60,162,8991,55,0.92,3622,10181, Haarlem,8465
3692,Haiti,Direct Drop,CIP,Air,60,17,943,55,0.92,3622,10181, Haarlem,7467
3693,South Africa,Direct Drop,DDP,Truck,90,2,28,14,0.16,3622,10181,France,8670
3694,Vietnam,Direct Drop,EXW,Air,60,27480,65952,2,0.04,3622,10181,India,3157
3695,Vietnam,Direct Drop,EXW,Air,60,11594,127534,11,0.18,1615,9502, Nashik,3641
3696,Vietnam,Direct Drop,EXW,Air,60,34900,63169,1,0.03,1588,11413,India,3157
3697,Uganda,Direct Drop,EXW,Air,60,6200,24800,4,0.07,597,2905,India,5524
3698,South Africa,Direct Drop,DDP,Truck,30,140,4039,28,0.96,3622,10181,France,8670
3699,Tanzania,Direct Drop,CIP,Air,30,6900,163323,23,0.79,3622,10181,France,6771
3700,Haiti,Direct Drop,EXW,Ocean,30,35616,126436,3,0.12,3622,10181,India,14446
3701,South Africa,Direct Drop,DDP,Truck,30,7,99,14,0.47,3622,10181,India,8074
3702,South Africa,Direct Drop,DDP,Air,240,11644,34932,3,0.01,4442,3283,India,8074
3703,Vietnam,Direct Drop,EXW,Air,30,1344,10080,7,0.25,86,3573, Nashik,3641
3704,Mozambique,Direct Drop,EXW,Air,60,13168,38450,2,0.05,834,3574,India,6624
3705,South Africa,Direct Drop,DDP,Truck,30,200,9049,45,1.51,3622,10181, Port Elizabeth,573
3706,"Congo, DRC",Direct Drop,EXW,Air,1000,602,15230,25,0.03,488,7393,India,6583
3707,Uganda,Direct Drop,EXW,Air,30,1200,1500,1,0.04,64,896,India,5524
3708,Uganda,Direct Drop,EXW,Air,120,175,15750,90,0.75,37,1333, Port Elizabeth,3989
3709,Vietnam,Direct Drop,FCA,Air,120,1114,67753,60,0.51,266,6568,Germany,9157
3710,South Africa,Direct Drop,DDP,Truck,60,808,8268,10,0.17,3622,10181,India,8074
3711,Uganda,Direct Drop,EXW,Air,30,170,3825,22,0.75,22,1051, Nashik,4961
3712,Côte d'Ivoire,Direct Drop,FCA,Air,120,9517,320722,33,0.28,2368,17068,Germany,5008
3713,Tanzania,Direct Drop,FCA,Air,60,765,4544,5,0.1,84,1396,Germany,6837
3714,Côte d'Ivoire,Direct Drop,EXW,Air,100,650,2925,4,0.04,72,1766,India,9091
3715,Zimbabwe,Direct Drop,EXW,Air Charter,60,7000,15400,2,0.04,437,11814,India,6980
3716,South Africa,Direct Drop,DDP,Ocean,30,12722,89435,7,0.23,875,6038,India,8074
3717,Haiti,Direct Drop,EXW,Air,30,4846,87228,18,0.6,3622,10181,India,14446
3718,South Africa,Direct Drop,DDP,Truck,60,57,1123,19,0.33,3622,10181,India,8074
3719,Côte d'Ivoire,Direct Drop,FCA,Air,120,6000,216960,36,0.3,1523,10051,Germany,5008
3720,South Africa,Direct Drop,DDP,Truck,30,300,1213,4,0.13,3622,10181,India,8074
3721,South Africa,Direct Drop,DDP,Truck,30,190,1581,8,0.28,3622,10181,France,8670
3722,South Africa,Direct Drop,DDP,Truck,60,13,393,30,0.5,3622,10181,India,8074
3723,South Africa,Direct Drop,DDP,Truck,240,21,398,19,0.08,3622,10181,India,8074
3724,South Africa,Direct Drop,DDP,Truck,30,2500,47371,18,0.63,3622,10181, Port Elizabeth,573
3725,Uganda,Direct Drop,EXW,Ocean,30,63652,203049,3,0.11,3963,12961,India,5524
3726,Côte d'Ivoire,Direct Drop,FCA,Air,120,7600,274816,36,0.3,3622,10181,Germany,5008
3727,Côte d'Ivoire,Direct Drop,EXW,Air,30,1000,20000,20,0.67,140,2782, Nashik,8608
3728,South Africa,Direct Drop,DDP,Truck,240,8,141,17,0.07,3622,10181,India,8074
3729,Haiti,Direct Drop,EXW,Ocean,240,300,2049,6,0.03,3622,10181,India,14446
3730,South Africa,Direct Drop,DDP,Air,30,53234,248602,4,0.16,4507,5886,India,8074
3731,Rwanda,Direct Drop,EXW,Air,30,24666,443988,18,0.6,3622,10181,India,5921
3732,South Africa,Direct Drop,DDP,Ocean,30,58423,410713,7,0.23,4007,6639,India,8074
3733,South Africa,Direct Drop,DDP,Ocean,60,75000,181500,2,0.04,2915,6012,India,8074
3734,Vietnam,Direct Drop,EXW,Air,60,525,3465,6,0.11,34,807,India,3157
3735,Vietnam,Direct Drop,EXW,Air,60,6238,50527,8,0.13,866,1464,India,3157
3736,South Africa,Direct Drop,DDP,Ocean,30,57577,404766,7,0.23,3950,6639,India,8074
3737,South Africa,Direct Drop,DDP,Truck,240,35,959,27,0.11,3622,10181,India,8074
3738,South Africa,Direct Drop,DDP,Truck,120,57,1468,25,0.21,3622,10181,Germany,8973
3739,Vietnam,Direct Drop,EXW,Air,60,12700,141605,11,0.19,1572,13479,India,3157
3740,South Africa,Direct Drop,DDP,Air,30,31875,148856,4,0.16,3005,4263,India,8074
3741,Vietnam,Direct Drop,EXW,Air,30,2865,32918,11,0.38,332,6973, Nashik,3641
3742,South Africa,Direct Drop,DDP,Truck,60,26,597,23,0.38,3622,10181,India,8074
3743,South Africa,Direct Drop,DDP,Truck,30,302,10065,33,1.11,3622,10181,India,8074
3744,Haiti,Direct Drop,EXW,Ocean,60,45750,95160,2,0.03,3622,10181,India,14446
3745,South Africa,Direct Drop,DDP,Ocean,60,212409,524650,2,0.04,10302,13677,India,8074
3746,Haiti,Direct Drop,EXW,Air,240,3528,6526,1,0.01,1296,9230,India,14446
3747,South Africa,Direct Drop,DDP,Truck,60,9227,37157,4,0.07,3622,10181,India,8074
3748,South Africa,Direct Drop,DDP,Truck,240,16500,50631,3,0.01,3622,3908,India,8074
3749,South Africa,Direct Drop,DDP,Truck,30,16,539,33,1.12,3622,10181,India,8074
3750,South Africa,Direct Drop,DDP,Ocean,60,130828,316603,2,0.04,6525,10984,India,8074
3751,South Africa,Direct Drop,DDP,Truck,60,98,691,7,0.12,3622,10181,India,8074
3752,South Africa,Direct Drop,DDP,Truck,60,15,289,19,0.32,3622,10181,India,8074
3753,South Africa,Direct Drop,DDP,Ocean,30,11711,80923,6,0.23,1093,5460,India,8074
3754,South Africa,Direct Drop,DDP,Truck,90,6,58,9,0.11,3622,10181,France,8670
3755,South Africa,Direct Drop,DDP,Truck,60,3,193,64,1.08,3622,10181,India,8074
3756,South Africa,Direct Drop,DDP,Truck,60,2000,9240,4,0.08,3622,10181,India,8074
3757,South Africa,Direct Drop,DDP,Truck,60,24,425,17,0.3,3622,10181,India,8074
3758,South Africa,Direct Drop,DDP,Air,30,39049,182358,4,0.16,3669,4263,India,8074
3759,Nigeria,Direct Drop,EXW,Air,60,800,3600,4,0.08,3622,10181,India,7633
3760,Uganda,From RDC,RDC,Air,60,400,3504,8,0.15,70,1764,India,5524
3761,Nigeria,From RDC,RDC,Air Charter,60,318,922,2,0.05,105,9341,India,7633
3762,Zimbabwe,From RDC,RDC,Truck,60,76000,506160,6,0.11,8701,15332,India,6980
3763,Zambia,From RDC,RDC,Truck,30,47227,272972,5,0.19,4959,9973,India,6906
3764,Nigeria,From RDC,RDC,Air Charter,60,1697,12778,7,0.13,6725,33279,India,7633
3765,Côte d'Ivoire,From RDC,RDC,Air,60,1060,4028,3,0.06,56,1211,India,9091
3766,Côte d'Ivoire,From RDC,RDC,Air,60,1260,1839,1,0.02,82,1211,India,9091
3767,Côte d'Ivoire,From RDC,RDC,Air,60,5907,14413,2,0.04,283,4969,India,9091
3768,Uganda,From RDC,RDC,Air,60,4730,35616,7,0.13,260,1898,India,5524
3769,Mozambique,From RDC,RDC,Air,60,92,709,7,0.13,363,1816,India,6624
3770,Zambia,From RDC,RDC,Truck,60,10000,75300,7,0.13,546,2412,India,6906
3771,Uganda,From RDC,RDC,Air,60,59,661,11,0.19,12,1311, Nashik,4961
3772,Haiti,From RDC,RDC,Air,240,3648,7368,2,0.01,2571,26830,India,14446
3773,Mozambique,From RDC,RDC,Truck,30,3040,25931,8,0.28,163,1236, Nashik,6074
3774,Haiti,From RDC,RDC,Air,240,3635,6979,1,0.01,1345,14489,India,14446
3775,Côte d'Ivoire,From RDC,RDC,Air,60,30060,337273,11,0.19,3508,5254,India,9091
3776,Haiti,From RDC,RDC,Air,60,12000,105120,8,0.15,1077,12016,India,14446
3777,Mozambique,From RDC,RDC,Air,30,10000,57800,5,0.19,2156,3423,India,6624
3778,Mozambique,From RDC,RDC,Air,60,1939,4731,2,0.04,3622,10181,India,6624
3779,Zambia,From RDC,RDC,Truck,60,58097,375887,6,0.11,19451,16898,India,6906
3780,Uganda,From RDC,RDC,Air,60,600,1638,2,0.05,306,3945,India,5524
3781,Zimbabwe,From RDC,RDC,Air,30,1900,9747,5,0.17,4000,3302,India,6980
3782,Uganda,From RDC,RDC,Air,60,3519,8586,2,0.04,2538,6298, Nashik,4961
3783,Côte d'Ivoire,From RDC,RDC,Air,60,1907,29558,15,0.26,395,1042,India,9091
3784,Côte d'Ivoire,From RDC,RDC,Air,60,260,4030,15,0.26,54,1042,India,9091
3785,Nigeria,From RDC,RDC,Air Charter,60,342,834,2,0.04,17,10181,India,7633
3786,Nigeria,From RDC,RDC,Air Charter,60,2121,23797,11,0.19,248,10181,India,7633
3787,Nigeria,From RDC,RDC,Air Charter,30,3060,35955,11,0.39,247,10181, Nashik,7134
3788,Nigeria,From RDC,RDC,Air Charter,30,799,7990,10,0.33,65,10181, Nashik,7134
3789,Nigeria,From RDC,RDC,Air Charter,30,8000,41040,5,0.17,687,10181,India,7633
3790,Nigeria,From RDC,RDC,Air Charter,60,155,1357,8,0.15,14,10181,India,7633
3791,Nigeria,From RDC,RDC,Air Charter,30,3598,42276,11,0.39,290,10181, Nashik,7134
3792,Nigeria,From RDC,RDC,Air Charter,30,500,4070,8,0.27,28,10181, Nashik,7134
3793,Nigeria,From RDC,RDC,Air Charter,60,80,700,8,0.15,8,10181,India,7633
3794,Nigeria,From RDC,RDC,Air Charter,60,586,4395,7,0.12,30,10181, Nashik,7134
3795,Uganda,From RDC,RDC,Air,60,140,476,3,0.06,17,1073,India,5524
3796,Zambia,From RDC,RDC,Truck,60,2500,19300,7,0.13,526,4964,India,6906
3797,Mozambique,From RDC,RDC,Truck,30,12250,58187,4,0.16,1866,10959, Nashik,6074
3798,Uganda,From RDC,RDC,Air,60,5218,58545,11,0.19,617,5194,India,5524
3799,Nigeria,From RDC,RDC,Air Charter,30,30000,597600,19,0.66,3289,9736, Nashik,7134
3800,Uganda,From RDC,RDC,Air,60,18000,201960,11,0.19,2281,15254, Nashik,4961
3801,Uganda,From RDC,RDC,Air,60,4400,49368,11,0.19,527,4549,India,5524
3802,Zimbabwe,From RDC,RDC,Truck,60,5800,19024,3,0.05,12791,3833,India,6980
3803,Mozambique,From RDC,RDC,Truck,60,109554,1229195,11,0.19,20316,25790,India,6624
3804,Nigeria,From RDC,RDC,Air Charter,60,43050,483021,11,0.19,5067,10181,India,7633
3805,Nigeria,From RDC,RDC,Air Charter,60,22571,253246,11,0.19,2657,10181,India,7633
3806,Côte d'Ivoire,From RDC,RDC,Air,60,62410,700240,11,0.19,7701,27912,India,9091
3807,Côte d'Ivoire,From RDC,RDC,Air,60,1620,2316,1,0.02,3622,10181,India,9091
3808,Haiti,From RDC,RDC,Air,60,7560,10659,1,0.02,2027,19372,India,14446
3809,Côte d'Ivoire,From RDC,RDC,Air,240,672,9139,13,0.06,2979,3365,India,9091
3810,Zambia,From RDC,RDC,Truck,30,2750,12650,4,0.15,10313,11054, Nashik,6339
3811,Zambia,From RDC,RDC,Truck,30,19454,89488,4,0.15,3622,10181,India,6906
3812,Côte d'Ivoire,From RDC,RDC,Air,240,3872,7085,1,0.01,1438,5121,India,9091
3813,Côte d'Ivoire,From RDC,RDC,Air,240,3872,7085,1,0.01,1451,5121,India,9091
3814,Côte d'Ivoire,From RDC,RDC,Air,120,3240,117158,36,0.3,731,5121,Germany,5008
3815,Nigeria,From RDC,RDC,Air,60,6570,16030,2,0.04,307,10181,India,7633
3816,Nigeria,From RDC,RDC,Air,60,20000,150000,7,0.12,1096,10181,India,7633
3817,Nigeria,From RDC,RDC,Air,30,7400,147408,19,0.66,668,10181, Nashik,7134
3818,Nigeria,From RDC,RDC,Air,30,18522,185220,10,0.33,1668,10181, Nashik,7134
3819,Rwanda,From RDC,RDC,Air,60,44131,495149,11,0.19,5364,81670,India,5921
3820,Tanzania,From RDC,RDC,Air,30,3000,21900,7,0.24,269,1647, Nashik,5091
3821,Tanzania,From RDC,RDC,Air,60,23340,383709,16,0.27,2344,1647, Nashik,5091
3822,Nigeria,From RDC,RDC,Air Charter,30,6203,72885,11,0.39,560,6147, Nashik,7134
3823,Nigeria,From RDC,RDC,Air Charter,60,32040,359488,11,0.19,4212,6147,India,7633
3824,Côte d'Ivoire,From RDC,RDC,Air,60,5670,7994,1,0.02,317,12648,India,9091
3825,Côte d'Ivoire,From RDC,RDC,Air,30,2200,16060,7,0.24,6587,8953, Nashik,8608
3826,Zambia,From RDC,RDC,Truck,30,140554,1651509,11,0.39,16961,16981, Nashik,6339
3827,Mozambique,From RDC,RDC,Truck,60,208501,2339381,11,0.19,28237,14163,India,6624
3828,Côte d'Ivoire,From RDC,RDC,Truck,240,36,493,13,0.06,7889,6406,India,9091
3829,Côte d'Ivoire,From RDC,RDC,Truck,240,2415,4467,1,0.01,3622,10181,India,9091
3830,Côte d'Ivoire,From RDC,RDC,Air,240,588,7996,13,0.06,215,6406,India,9091
3831,Mozambique,From RDC,RDC,Truck,60,2996,9587,3,0.05,6022,6500,India,6624
3832,Côte d'Ivoire,From RDC,RDC,Air,240,628,1224,1,0.01,232,1794,India,9091
3833,Haiti,From RDC,RDC,Air,240,3872,7821,2,0.01,7755,74839,India,14446
3834,Zambia,From RDC,RDC,Air,60,10131,23605,2,0.04,493,2859,India,6906
3835,Uganda,From RDC,RDC,Air,60,4176,46854,11,0.19,567,2768,India,5524
3836,Nigeria,From RDC,RDC,Air Charter,60,141764,1590592,11,0.19,70109,43548,India,7633
3837,Côte d'Ivoire,From RDC,RDC,Air,30,2610,58725,22,0.75,1195,8758, Nashik,8608
3838,Uganda,From RDC,RDC,Truck,60,117367,1316857,11,0.19,17496,104604,India,5524
3839,Zimbabwe,From RDC,RDC,Truck,30,97100,856422,8,0.29,14340,16222, Nashik,6420
3840,Uganda,From RDC,RDC,Air,240,1000,1950,1,0.01,369,6218,India,5524
3841,Côte d'Ivoire,From RDC,RDC,Air,30,859,5643,6,0.22,12232,60010,India,9091
3842,Zimbabwe,From RDC,RDC,Truck,60,2786,9138,3,0.05,213,3403,India,6980
3843,Haiti,From RDC,RDC,Air,100,1242,6011,4,0.05,260,2452,India,14446
3844,Haiti,From RDC,RDC,Air,90,1260,12234,9,0.11,194,2452,India,14446
3845,Uganda,From RDC,RDC,Truck,60,100000,1122000,11,0.19,14983,78442, Nashik,4961
3846,Nigeria,From RDC,RDC,Air Charter,30,57468,248261,4,0.14,4915,13398, Nashik,7134
3847,Zimbabwe,From RDC,RDC,Truck,30,6392,27741,4,0.14,571,4428,India,6980
3848,Zimbabwe,From RDC,RDC,Truck,60,35000,148750,4,0.07,2032,4428, Nashik,6420
3849,Nigeria,From RDC,RDC,Air Charter,90,1280,12403,9,0.11,177,13398,India,7633
3850,Zambia,From RDC,RDC,Truck,240,20000,36000,1,0.01,7469,3949,India,6906
3851,Zimbabwe,From RDC,RDC,Truck,60,51722,278264,5,0.09,9134,16064,India,6980
3852,Zimbabwe,From RDC,RDC,Air,30,124,1054,8,0.28,8,940,India,6980
3853,Zambia,From RDC,RDC,Air,30,10015,109363,10,0.36,846,3798, Nashik,6339
3854,Uganda,From RDC,RDC,Truck,60,451,1132,2,0.04,698,3865,India,5524
3855,Uganda,From RDC,RDC,Truck,60,15107,124783,8,0.14,1409,10928,India,5524
3856,Zimbabwe,From RDC,RDC,Truck,30,10114,87283,8,0.29,1019,4969, Nashik,6420
3857,Côte d'Ivoire,From RDC,RDC,Air,60,160058,1795850,11,0.19,26409,60432, Nashik,8608
3858,Mozambique,From RDC,RDC,Truck,60,119098,1336279,11,0.19,15808,11969,India,6624
3859,Uganda,From RDC,RDC,Air,30,2447,15709,6,0.21,138,1812, Nashik,4961
3860,Uganda,From RDC,RDC,Air,240,11326,22085,1,0.01,4274,24213,India,5524
3861,Côte d'Ivoire,From RDC,RDC,Air,60,12169,136536,11,0.19,7916,21397,India,9091
3862,Nigeria,From RDC,RDC,Air Charter,60,4300,10019,2,0.04,220,18495,India,7633
3863,Nigeria,From RDC,RDC,Air Charter,30,115089,1127872,9,0.33,11004,18495, Nashik,7134
3864,Nigeria,From RDC,RDC,Air Charter,60,3446,28463,8,0.14,6622,18495, Nashik,7134
3865,Nigeria,From RDC,RDC,Air Charter,60,61567,508543,8,0.14,3622,10181,India,7633
3866,Haiti,From RDC,RDC,Air,240,1292,2519,1,0.01,483,5324,India,14446
3867,Uganda,From RDC,RDC,Air,240,13993,27286,1,0.01,5262,27823,India,5524
3868,Tanzania,From RDC,RDC,Air,30,4163,82926,19,0.66,483,2367, Nashik,5091
3869,Mozambique,From RDC,RDC,Truck,240,26337,51357,1,0.01,9931,6888,India,6624
3870,Nigeria,From RDC,RDC,Air Charter,30,24346,190385,7,0.26,2391,21326, Nashik,7134
3871,Nigeria,From RDC,RDC,Air Charter,60,105160,1179895,11,0.19,28277,21326,India,7633
3872,Mozambique,From RDC,RDC,Truck,240,2930,5713,1,0.01,1102,2779,India,6624
3873,Côte d'Ivoire,From RDC,RDC,Truck,60,8100,18873,2,0.04,387,3296,India,9091
3874,Zambia,From RDC,RDC,Ocean,240,12861,25078,1,0.01,4836,4075,India,6906
3875,Tanzania,From RDC,RDC,Air,240,2335,29187,12,0.05,9523,10181,India,5659
3876,Tanzania,From RDC,RDC,Air,30,11723,233522,19,0.66,1305,10181, Nashik,5091
3877,Nigeria,From RDC,RDC,Air Charter,60,4700,10951,2,0.04,264,15322,India,7633
3878,Nigeria,From RDC,RDC,Air Charter,30,5950,53371,8,0.3,631,15322,India,7633
3879,Côte d'Ivoire,From RDC,RDC,Truck,60,3765,56475,15,0.25,303,12102,India,9091
3880,Nigeria,From RDC,RDC,Air Charter,60,9887,110932,11,0.19,20845,15322, Nashik,7134
3881,Côte d'Ivoire,From RDC,RDC,Air Charter,60,14081,116309,8,0.14,6410,24940,India,9091
3882,Nigeria,From RDC,RDC,Air Charter,30,43441,357519,8,0.27,3263,15322, Nashik,7134
3883,"Congo, DRC",From RDC,RDC,Air,60,1500,12390,8,0.14,147,1182,India,6583
3884,Tanzania,From RDC,RDC,Truck,30,200693,846924,4,0.14,17947,10181,India,5659
3885,"Congo, DRC",From RDC,RDC,Air,60,97,801,8,0.14,46,456,India,6583
3886,"Congo, DRC",From RDC,RDC,Air,60,16,41,2,0.04,42,456,India,6583
3887,"Congo, DRC",From RDC,RDC,Air,60,54,594,11,0.18,3622,10181, Nashik,6020
3888,"Congo, DRC",From RDC,RDC,Air,60,28,308,11,0.18,13,912, Nashik,6020
3889,"Congo, DRC",From RDC,RDC,Air,60,1176,12936,11,0.18,308,1824, Nashik,6020
3890,"Congo, DRC",From RDC,RDC,Air,120,147,4959,33,0.28,3622,10181,India,6583
3891,"Congo, DRC",From RDC,RDC,Air,60,341,879,2,0.04,3622,10181,India,6583
3892,"Congo, DRC",From RDC,RDC,Air,30,20,121,6,0.2,70,1524, Nashik,6020
3893,"Congo, DRC",From RDC,RDC,Air,30,103,626,6,0.2,1072,5636, Nashik,6020
3894,Zambia,From RDC,RDC,Truck,60,27452,412878,15,0.25,3898,11292, Nashik,6339
3895,Zambia,From RDC,RDC,Truck,60,7548,110427,14,0.24,13472,11292, Nashik,6339
3896,Tanzania,From RDC,RDC,Truck,30,18732,41959,2,0.07,1090,1698,India,5659
3897,Côte d'Ivoire,From RDC,RDC,Truck,60,92352,1036189,11,0.19,10832,3641,India,9091
3898,Tanzania,From RDC,RDC,Truck,240,2176,27200,12,0.05,821,1698,India,5659
3899,Côte d'Ivoire,From RDC,RDC,Truck,30,2160,11880,5,0.18,1122,6009, Nashik,8608
3900,Tanzania,From RDC,RDC,Truck,60,150000,1053000,7,0.12,10142,7651,India,5659
3901,Nigeria,From RDC,RDC,Air Charter,30,26798,448330,16,0.56,3203,25231, Nashik,7134
3902,Nigeria,From RDC,RDC,Air Charter,60,100000,258000,2,0.04,18672,25231,India,7633
3903,Nigeria,From RDC,RDC,Air Charter,30,95243,854329,8,0.3,14487,10181,India,7633
3904,Nigeria,From RDC,RDC,Air Charter,30,50000,448500,8,0.3,3622,10181, Nashik,7134
3905,Uganda,From RDC,RDC,Truck,60,5525,60775,11,0.18,1414,4054, Nashik,4961
3906,Uganda,From RDC,RDC,Truck,30,3900,23712,6,0.2,3622,10181, Nashik,4961
3907,Uganda,From RDC,RDC,Truck,60,1700,4267,2,0.04,3622,10181,India,5524
3908,Tanzania,From RDC,RDC,Truck,60,22340,184528,8,0.14,20975,3279,India,5659
3909,Côte d'Ivoire,From RDC,RDC,Air,60,13860,97297,7,0.12,662,3848,India,9091
3910,Nigeria,From RDC,RDC,Air Charter,30,50000,813500,16,0.54,6078,27441, Nashik,7134
3911,Nigeria,From RDC,RDC,Air Charter,60,29980,233244,7,0.13,2721,27441, Nashik,7134
3912,Uganda,From RDC,RDC,Truck,30,1500,8310,5,0.18,729,3758, Nashik,4961
3913,Uganda,From RDC,RDC,Truck,60,750,1830,2,0.04,3622,10181,India,5524
3914,Uganda,From RDC,RDC,Truck,120,6899,204762,29,0.25,1859,10611,India,5524
3915,Zimbabwe,From RDC,RDC,Truck,60,16873,41170,2,0.04,8433,15219,India,6980
3916,Zambia,From RDC,RDC,Truck,30,150000,2440500,16,0.54,17001,6079, Nashik,6339
3917,Zambia,From RDC,RDC,Truck,30,10000,167300,16,0.56,1133,6079, Nashik,6339
3918,Côte d'Ivoire,From RDC,RDC,Air,60,69684,542141,7,0.13,6798,26205, Nashik,8608
3919,Mozambique,From RDC,RDC,Truck,240,60968,118887,1,0.01,53692,29683,India,6624
3920,Nigeria,From RDC,RDC,Air Charter,60,220000,2420000,11,0.18,28776,17090,India,7633
3921,Nigeria,From RDC,RDC,Air Charter,30,70000,273700,3,0.13,6889,17090,India,7633
3922,Zimbabwe,From RDC,RDC,Truck,60,3345,26024,7,0.13,7095,5530, Nashik,6420
3923,Zimbabwe,From RDC,RDC,Truck,60,36192,254067,7,0.12,2036,5530, Nashik,6420
3924,Zimbabwe,From RDC,RDC,Truck,60,3345,26024,7,0.13,7114,5530, Nashik,6420
3925,Côte d'Ivoire,From RDC,RDC,Air,60,9900,23067,2,0.04,451,2394,India,9091
3926,Rwanda,From RDC,RDC,Air,60,40000,97600,2,0.04,3771,31029,India,5921
3927,Uganda,From RDC,RDC,Air,30,45840,179234,3,0.13,5486,27321,India,5524
3928,Uganda,From RDC,RDC,Air,30,60000,332400,5,0.18,4547,30482, Nashik,4961
3929,Uganda,From RDC,RDC,Truck,60,157,1540,9,0.16,836,4911,India,5524
3930,Côte d'Ivoire,From RDC,RDC,Air,60,80032,785113,9,0.16,11720,11702,India,9091
3931,Côte d'Ivoire,From RDC,RDC,Air,30,1499,7225,4,0.16,123,2252,India,9091
3932,Zambia,From RDC,RDC,Truck,60,2548,33022,12,0.22,3090,11188,India,6906
3933,Nigeria,From RDC,RDC,Air Charter,60,52378,404358,7,0.13,7666,16532,India,7633
3934,Uganda,From RDC,RDC,Air,60,72107,707369,9,0.16,9348,81100, Nashik,4961
3935,Côte d'Ivoire,From RDC,RDC,Air,30,14880,223795,15,0.5,1674,4754, Nashik,8608
3936,Zimbabwe,From RDC,RDC,Truck,30,44881,240562,5,0.18,7191,6014, Nashik,6420
3937,Mozambique,From RDC,RDC,Truck,240,7150,15015,2,0.01,2778,19730,India,6624
3938,Côte d'Ivoire,From RDC,RDC,Truck,100,490,2303,4,0.05,4359,12101,India,9091
3939,Tanzania,From RDC,RDC,Air,60,52770,407384,7,0.13,16510,82283, Nashik,5091
3940,Uganda,From RDC,RDC,Air,30,20201,111913,5,0.18,3865,19667,India,5524
3941,Zambia,From RDC,RDC,Truck,60,16258,109904,6,0.11,2321,7317, Nashik,6339
3942,Zambia,From RDC,RDC,Truck,60,18867,46035,2,0.04,17125,7317, Nashik,6339
3943,Côte d'Ivoire,From RDC,RDC,Truck,60,84900,660522,7,0.13,18204,36194, Nashik,8608
3944,Rwanda,From RDC,RDC,Air,60,18620,244853,13,0.22,1928,5825, Nashik,5355
3945,Rwanda,From RDC,RDC,Air,30,36390,201600,5,0.18,3863,23249, Nashik,5355
3946,Côte d'Ivoire,From RDC,RDC,Truck,30,2000,7620,3,0.13,4026,15677,India,9091
3947,Zambia,From RDC,RDC,Truck,30,167825,1105966,6,0.22,26199,34356, Nashik,6339
3948,Côte d'Ivoire,From RDC,RDC,Truck,120,24097,643389,26,0.22,6375,18661, Nashik,8608
3949,Rwanda,From RDC,RDC,Air,30,59989,796054,13,0.44,7242,5825, Nashik,5355
3950,Côte d'Ivoire,From RDC,RDC,Truck,120,503,13430,26,0.22,123,1783,India,9091
3951,Côte d'Ivoire,From RDC,RDC,Truck,90,4120,30076,7,0.08,253,4261,India,9091
3952,Côte d'Ivoire,From RDC,RDC,Truck,30,2500,56250,22,0.75,2147,8211,India,9091
3953,Nigeria,From RDC,RDC,Air,60,200000,484000,2,0.04,12028,15459,India,7633
3954,Uganda,From RDC,RDC,Truck,30,125014,1658935,13,0.44,14275,131278, Nashik,4961
3955,Zimbabwe,From RDC,RDC,Truck,60,20451,47037,2,0.04,10118,9251,India,6980
3956,Nigeria,From RDC,RDC,Air,60,16870,40825,2,0.04,7973,51090,India,7633
3957,Nigeria,From RDC,RDC,Air,30,66637,357174,5,0.18,25523,51090,India,7633
3958,Côte d'Ivoire,From RDC,RDC,Truck,30,14368,52299,3,0.12,4409,17192,India,9091
3959,Côte d'Ivoire,From RDC,RDC,Truck,30,9767,52351,5,0.18,852,3026,India,9091
3960,Zimbabwe,From RDC,RDC,Truck,60,15120,135626,8,0.15,5754,10075,India,6980
3961,Uganda,From RDC,RDC,Air,30,5580,26839,4,0.16,1187,9609,India,5524
3962,"Congo, DRC",From RDC,RDC,Air,60,647,4703,7,0.12,5897,40434, Nashik,6020
3963,"Congo, DRC",From RDC,RDC,Air,30,2952,35748,12,0.4,3622,10181, Nashik,6020
3964,Zimbabwe,From RDC,RDC,Truck,60,7867,57193,7,0.12,704,25568,India,6980
3965,Nigeria,From RDC,RDC,Air Charter,30,100000,638000,6,0.21,8850,29780, Nashik,7134
3966,Uganda,From RDC,RDC,Air,30,7126,97554,13,0.46,2261,13252, Nashik,4961
3967,Uganda,From RDC,RDC,Air,60,32298,72993,2,0.04,6528,21806,India,5524
3968,Zimbabwe,From RDC,RDC,Truck,60,15120,129729,8,0.14,23677,9405,India,6980
3969,Zimbabwe,From RDC,RDC,Truck,30,20160,244137,12,0.4,2268,9405, Nashik,6420
3970,Zimbabwe,From RDC,RDC,Truck,60,7372,14006,1,0.03,5453,9405,India,6980
3971,Zimbabwe,From RDC,RDC,Truck,60,28220,64906,2,0.04,3622,10181,India,6980
3972,Uganda,From RDC,RDC,Truck,60,1731,3912,2,0.04,76,936, Nashik,4961
3973,Haiti,From RDC,RDC,Air,30,39936,132986,3,0.11,16035,161712,India,14446
3974,Haiti,From RDC,RDC,Air,30,192,775,4,0.13,3622,10181, Nashik,14325
3975,Nigeria,From RDC,RDC,Air Charter,60,31971,232429,7,0.12,11111,37242, Nashik,7134
3976,Nigeria,From RDC,RDC,Air Charter,60,42805,311192,7,0.12,3622,10181,India,7633
